Precinct,"Mark J. Palimino
Democratic","Joe Katich
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,368","1,466","3,834","7,728","11,562"
"Chesterfield Township, Precinct 1",161,102,263,523,786
"Chesterfield Township, Precinct 2",174,64,238,488,726
"Chesterfield Township, Precinct 3",81,74,155,432,587
"Chesterfield Township, Precinct 4",131,47,178,317,495
"Chesterfield Township, Precinct 5",145,99,244,440,684
"Chesterfield Township, Precinct 6",109,68,177,414,591
"Chesterfield Township, Precinct 7",77,77,154,323,477
"Chesterfield Township, Precinct 8",97,57,154,404,558
"Chesterfield Township, Precinct 9",132,90,222,411,633
"Chesterfield Township, Precinct 10",119,95,214,754,968
"Chesterfield Township, Precinct 11",102,74,176,316,492
"Chesterfield Township, Precinct 12",157,73,230,334,564
"Chesterfield Township, Precinct 13",174,97,271,519,790
"Chesterfield Township, Precinct 14",95,48,143,283,426
"Chesterfield Township, Precinct 15",176,125,301,590,891
"Chesterfield Township, Precinct 16",136,77,213,456,669
"Chesterfield Township, Precinct 17",96,62,158,137,295
"Chesterfield Township, Precinct 18",101,63,164,304,468
"Chesterfield Township, Precinct 19",105,74,179,283,462
Totals,"2,368","1,466","3,834","7,728","11,562"

