Precinct,"Cheryl Szalka
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Richmond Township, Precinct 1",263,263,211,474
"Richmond Township, Precinct 2",260,260,213,473
Totals,523,523,424,947

