Precinct,"Betsy Bart
Republican","Joseph Guzdziol
Republican","Teresa Claudia Matthews
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Ray Township, Precinct 1",261,140,33,434,180,614
"Ray Township, Precinct 2",309,173,76,558,277,835
Totals,570,313,109,992,457,"1,449"

