Precinct,"Pamela Hornberger
Republican","Brandon J. Mikula
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,728","2,601","7,329","7,267","14,596"
"Chesterfield Township, Precinct 1",232,160,392,394,786
"Chesterfield Township, Precinct 2",215,136,351,375,726
"Chesterfield Township, Precinct 3",200,111,311,276,587
"Chesterfield Township, Precinct 4",154,76,230,265,495
"Chesterfield Township, Precinct 5",201,123,324,360,684
"Chesterfield Township, Precinct 6",213,119,332,259,591
"Chesterfield Township, Precinct 7",135,103,238,239,477
"Chesterfield Township, Precinct 8",196,99,295,263,558
"Chesterfield Township, Precinct 9",208,111,319,314,633
"Chesterfield Township, Precinct 10",397,183,580,388,968
"Chesterfield Township, Precinct 11",163,91,254,238,492
"Chesterfield Township, Precinct 12",150,92,242,322,564
"Chesterfield Township, Precinct 13",252,147,399,391,790
"Chesterfield Township, Precinct 14",129,80,209,217,426
"Chesterfield Township, Precinct 15",299,153,452,439,891
"Chesterfield Township, Precinct 16",241,109,350,319,669
"Chesterfield Township, Precinct 17",53,40,93,202,295
"Chesterfield Township, Precinct 18",127,80,207,261,468
"Chesterfield Township, Precinct 19",135,64,199,263,462
"New Baltimore City, Precinct 1",161,78,239,240,479
"New Baltimore City, Precinct 2",136,75,211,163,374
"New Baltimore City, Precinct 3",319,148,467,386,853
"New Baltimore City, Precinct 4",202,129,331,371,702
"New Baltimore City, Precinct 5",210,94,304,322,626
Totals,"4,728","2,601","7,329","7,267","14,596"

