Precinct,"Cindi Greenia
Republican","Vern Kulman
Republican","Total Votes Cast","Total Ballots Cast"
"Richmond Township, Precinct 1",247,204,451,474
"Richmond Township, Precinct 2",224,170,394,473
Totals,471,374,845,947

