Precinct,"Joe Salvaggio
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,985","3,985","8,476","12,461"
"Fraser City, Precinct 1",157,157,264,421
"Fraser City, Precinct 2",277,277,368,645
"Fraser City, Precinct 3",240,240,504,744
"Fraser City, Precinct 4",191,191,382,573
"Fraser City, Precinct 5",59,59,117,176
"Fraser City, Precinct 6",280,280,507,787
"Fraser City, Precinct 7",135,135,274,409
"Roseville City, Precinct 1",197,197,356,553
"Roseville City, Precinct 2",250,250,582,832
"Roseville City, Precinct 3",121,121,437,558
"Roseville City, Precinct 4",99,99,237,336
"Roseville City, Precinct 5",152,152,348,500
"Roseville City, Precinct 6",266,266,456,722
"Roseville City, Precinct 7",225,225,515,740
"Roseville City, Precinct 8",210,210,521,731
"Roseville City, Precinct 9",293,293,535,828
"Roseville City, Precinct 10",134,134,269,403
"Roseville City, Precinct 11",165,165,393,558
"Roseville City, Precinct 12",156,156,350,506
"Roseville City, Precinct 13",83,83,213,296
"Roseville City, Precinct 14",147,147,309,456
"Roseville City, Precinct 15",148,148,539,687
Totals,"3,985","3,985","8,476","12,461"

