Precinct,"No Nomination","Total Ballots Cast"
"Lenox Township, Precinct 1",-,503
"Lenox Township, Precinct 2",-,634
"Lenox Township, Precinct 3",-,574
"Lenox Township, Precinct 4",-,246
Totals,-,"1,957"

