Precinct,"John P. Spica
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,833","3,833","7,729","11,562"
"Chesterfield Township, Precinct 1",248,248,538,786
"Chesterfield Township, Precinct 2",232,232,494,726
"Chesterfield Township, Precinct 3",157,157,430,587
"Chesterfield Township, Precinct 4",180,180,315,495
"Chesterfield Township, Precinct 5",248,248,436,684
"Chesterfield Township, Precinct 6",180,180,411,591
"Chesterfield Township, Precinct 7",155,155,322,477
"Chesterfield Township, Precinct 8",155,155,403,558
"Chesterfield Township, Precinct 9",226,226,407,633
"Chesterfield Township, Precinct 10",224,224,744,968
"Chesterfield Township, Precinct 11",173,173,319,492
"Chesterfield Township, Precinct 12",229,229,335,564
"Chesterfield Township, Precinct 13",267,267,523,790
"Chesterfield Township, Precinct 14",149,149,277,426
"Chesterfield Township, Precinct 15",304,304,587,891
"Chesterfield Township, Precinct 16",208,208,461,669
"Chesterfield Township, Precinct 17",159,159,136,295
"Chesterfield Township, Precinct 18",160,160,308,468
"Chesterfield Township, Precinct 19",179,179,283,462
Totals,"3,833","3,833","7,729","11,562"

