Precinct,"Lorie Barnwell
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"New Baltimore City, Precinct 2",115,115,259,374
"New Baltimore City, Precinct 3",267,267,586,853
"New Baltimore City, Precinct 4",281,281,421,702
"New Baltimore City, Precinct 5",220,220,406,626
"Ray Township, Precinct 1",85,85,529,614
"Ray Township, Precinct 2",141,141,694,835
"Richmond City, Precinct 1",267,267,570,837
"Richmond City, Precinct 2",196,196,445,641
"Richmond Township, Precinct 1",80,80,394,474
"Richmond Township, Precinct 2",102,102,371,473
"Roseville City, Precinct 1",291,291,262,553
"Roseville City, Precinct 2",456,456,376,832
"Roseville City, Precinct 3",360,360,198,558
"Roseville City, Precinct 4",193,193,143,336
"Roseville City, Precinct 5",278,278,222,500
"Roseville City, Precinct 6",334,334,388,722
"Roseville City, Precinct 7",409,409,331,740
"Roseville City, Precinct 8",401,401,330,731
"Roseville City, Precinct 9",389,389,439,828
"Roseville City, Precinct 10",197,197,206,403
"Roseville City, Precinct 11",288,288,270,558
"Roseville City, Precinct 12",263,263,243,506
"Roseville City, Precinct 13",158,158,138,296
"Roseville City, Precinct 14",225,225,231,456
"Roseville City, Precinct 15",422,422,265,687
"Shelby Township, Precinct 1",201,201,825,"1,026"
"Shelby Township, Precinct 2",173,173,640,813
"Shelby Township, Precinct 3",100,100,265,365
"Shelby Township, Precinct 4",165,165,519,684
"Shelby Township, Precinct 5",161,161,352,513
"Shelby Township, Precinct 6",165,165,275,440
"Shelby Township, Precinct 7",182,182,646,828
"Shelby Township, Precinct 8",81,81,337,418
"Shelby Township, Precinct 9",144,144,238,382
"Shelby Township, Precinct 10",140,140,393,533
"Shelby Township, Precinct 11",201,201,452,653
"Shelby Township, Precinct 12",101,101,459,560
"Shelby Township, Precinct 13",92,92,321,413
"Shelby Township, Precinct 14",198,198,614,812
"Shelby Township, Precinct 15",222,222,653,875
"Shelby Township, Precinct 16",262,262,870,"1,132"
"Shelby Township, Precinct 17",223,223,653,876
"Shelby Township, Precinct 18",200,200,458,658
"Shelby Township, Precinct 19",163,163,430,593
"Shelby Township, Precinct 20",136,136,355,491
"Shelby Township, Precinct 21",160,160,147,307
"Shelby Township, Precinct 22",260,260,901,"1,161"
"Shelby Township, Precinct 23",164,164,791,955
"Shelby Township, Precinct 24",231,231,"1,042","1,273"
"Shelby Township, Precinct 25",214,214,661,875
"Shelby Township, Precinct 26",250,250,542,792
"Shelby Township, Precinct 27",282,282,525,807
"Shelby Township, Precinct 28",306,306,638,944
"Shelby Township, Precinct 29",129,129,349,478
"Shelby Township, Precinct 30",139,139,479,618
"St. Clair Shores City, Precinct 1",503,503,646,"1,149"
"St. Clair Shores City, Precinct 2",450,450,531,981
"St. Clair Shores City, Precinct 3",463,463,415,878
"St. Clair Shores City, Precinct 4",420,420,480,900
"St. Clair Shores City, Precinct 5",454,454,362,816
"St. Clair Shores City, Precinct 6",480,480,296,776
"St. Clair Shores City, Precinct 7",253,253,236,489
"St. Clair Shores City, Precinct 8",349,349,394,743
"St. Clair Shores City, Precinct 9",222,222,265,487
"St. Clair Shores City, Precinct 10",393,393,439,832
"St. Clair Shores City, Precinct 11",169,169,197,366
"St. Clair Shores City, Precinct 12",418,418,574,992
"St. Clair Shores City, Precinct 13",416,416,742,"1,158"
"St. Clair Shores City, Precinct 14",150,150,171,321
"St. Clair Shores City, Precinct 15",413,413,483,896
"St. Clair Shores City, Precinct 16",355,355,462,817
"St. Clair Shores City, Precinct 17",407,407,576,983
"St. Clair Shores City, Precinct 18",286,286,432,718
"St. Clair Shores City, Precinct 19",263,263,352,615
"St. Clair Shores City, Precinct 20",198,198,229,427
"St. Clair Shores City, Precinct 21",292,292,368,660
"St. Clair Shores City, Precinct 22",217,217,337,554
"St. Clair Shores City, Precinct 23",316,316,361,677
"Sterling Heights City, Precinct 1",237,237,219,456
"Sterling Heights City, Precinct 2",375,375,345,720
"Sterling Heights City, Precinct 3",435,435,407,842
"Sterling Heights City, Precinct 4",535,535,467,"1,002"
"Sterling Heights City, Precinct 5",451,451,463,914
"Sterling Heights City, Precinct 6",202,202,316,518
"Sterling Heights City, Precinct 7",333,333,379,712
"Sterling Heights City, Precinct 8",276,276,313,589
"Sterling Heights City, Precinct 9",149,149,182,331
"Sterling Heights City, Precinct 10",344,344,419,763
"Sterling Heights City, Precinct 11",215,215,225,440
"Sterling Heights City, Precinct 12",397,397,453,850
"Sterling Heights City, Precinct 13",245,245,232,477
"Sterling Heights City, Precinct 14",222,222,191,413
"Sterling Heights City, Precinct 15",172,172,257,429
"Sterling Heights City, Precinct 16",215,215,226,441
"Sterling Heights City, Precinct 17",229,229,242,471
"Sterling Heights City, Precinct 18",379,379,399,778
"Sterling Heights City, Precinct 19",387,387,398,785
"Sterling Heights City, Precinct 20",322,322,389,711
"Sterling Heights City, Precinct 21",190,190,221,411
"Sterling Heights City, Precinct 22",209,209,285,494
"Sterling Heights City, Precinct 23",228,228,285,513
"Sterling Heights City, Precinct 24",213,213,286,499
"Sterling Heights City, Precinct 25",397,397,473,870
"Sterling Heights City, Precinct 26",319,319,503,822
"Sterling Heights City, Precinct 27",303,303,397,700
"Sterling Heights City, Precinct 28",303,303,400,703
"Sterling Heights City, Precinct 29",248,248,364,612
"Sterling Heights City, Precinct 30",169,169,193,362
"Sterling Heights City, Precinct 31",181,181,181,362
"Sterling Heights City, Precinct 32",91,91,94,185
"Sterling Heights City, Precinct 33",247,247,337,584
"Sterling Heights City, Precinct 34",270,270,460,730
"Sterling Heights City, Precinct 35",158,158,192,350
"Sterling Heights City, Precinct 36",354,354,449,803
"Sterling Heights City, Precinct 37",315,315,367,682
"Sterling Heights City, Precinct 38",416,416,465,881
"Sterling Heights City, Precinct 39",243,243,360,603
"Sterling Heights City, Precinct 40",117,117,178,295
"Sterling Heights City, Precinct 41",193,193,255,448
"Sterling Heights City, Precinct 42",236,236,378,614
"Sterling Heights City, Precinct 43",456,456,666,"1,122"
"Sterling Heights City, Precinct 44",244,244,364,608
"Sterling Heights City, Precinct 45",344,344,437,781
"Utica City, Precinct 1",88,88,118,206
"Utica City, Precinct 2",138,138,296,434
"Utica City, Precinct 3",193,193,263,456
"Warren City, Precinct 1",365,365,176,541
"Warren City, Precinct 3",380,380,156,536
"Warren City, Precinct 4",260,260,173,433
"Warren City, Precinct 5",291,291,154,445
"Warren City, Precinct 6",325,325,215,540
"Warren City, Precinct 7",184,184,91,275
"Warren City, Precinct 8",174,174,120,294
"Warren City, Precinct 9",208,208,131,339
"Warren City, Precinct 10",186,186,76,262
"Warren City, Precinct 11",6,6,3,9
"Warren City, Precinct 12",139,139,84,223
"Warren City, Precinct 13",79,79,74,153
"Warren City, Precinct 14",342,342,217,559
"Warren City, Precinct 15",338,338,218,556
"Warren City, Precinct 17",236,236,205,441
"Warren City, Precinct 18",90,90,48,138
"Warren City, Precinct 19",285,285,208,493
"Warren City, Precinct 20",376,376,275,651
"Warren City, Precinct 22",339,339,354,693
"Warren City, Precinct 23",342,342,271,613
"Warren City, Precinct 24",135,135,116,251
"Warren City, Precinct 25",184,184,215,399
"Warren City, Precinct 26",170,170,84,254
"Warren City, Precinct 27",508,508,564,"1,072"
"Warren City, Precinct 28",511,511,376,887
"Warren City, Precinct 31",482,482,399,881
"Warren City, Precinct 32",362,362,353,715
"Warren City, Precinct 33",405,405,411,816
"Warren City, Precinct 34",227,227,127,354
"Warren City, Precinct 35",425,425,317,742
"Warren City, Precinct 36",579,579,529,"1,108"
"Warren City, Precinct 38",542,542,333,875
"Warren City, Precinct 41",482,482,368,850
"Warren City, Precinct 43",366,366,294,660
"Warren City, Precinct 44",336,336,216,552
"Warren City, Precinct 45",326,326,256,582
"Warren City, Precinct 46",289,289,217,506
"Warren City, Precinct 47",398,398,409,807
"Warren City, Precinct 48",270,270,146,416
"Warren City, Precinct 49",389,389,408,797
"Warren City, Precinct 50",337,337,331,668
"Warren City, Precinct 51",428,428,460,888
"Warren City, Precinct 52",209,209,292,501
"Warren City, Precinct 53",222,222,233,455
"Warren City, Precinct 54",310,310,380,690
"Warren City, Precinct 55",319,319,320,639
"Warren City, Precinct 56",163,163,180,343
"Warren City, Precinct 57",285,285,289,574
"Warren City, Precinct 58",422,422,491,913
"Washington Township, Precinct 1",127,127,430,557
"Washington Township, Precinct 2",260,260,894,"1,154"
"Washington Township, Precinct 3",160,160,909,"1,069"
"Washington Township, Precinct 4",184,184,570,754
"Washington Township, Precinct 5",148,148,928,"1,076"
"Washington Township, Precinct 6",183,183,962,"1,145"
"Washington Township, Precinct 7",191,191,840,"1,031"
"Washington Township, Precinct 8",185,185,694,879
"Washington Township, Precinct 9",87,87,427,514
"Washington Township, Precinct 10",129,129,532,661
"Washington Township, Precinct 11",97,97,552,649
Totals,"86,912","86,912","125,601","212,513"

