Precinct,"Richard M. Steenland
Democratic","Ryan Nelson
Democratic","Michael James Anderson
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,557","2,327","1,996","8,880","7,664","16,544"
"Roseville City, Precinct 1",170,76,51,297,256,553
"Roseville City, Precinct 2",257,131,75,463,369,832
"Roseville City, Precinct 3",214,67,89,370,188,558
"Roseville City, Precinct 4",101,57,39,197,139,336
"Roseville City, Precinct 5",167,72,43,282,218,500
"Roseville City, Precinct 6",234,65,71,370,352,722
"Roseville City, Precinct 7",245,101,73,419,321,740
"Roseville City, Precinct 8",268,101,52,421,310,731
"Roseville City, Precinct 9",294,66,51,411,417,828
"Roseville City, Precinct 10",136,39,30,205,198,403
"Roseville City, Precinct 11",211,56,39,306,252,558
"Roseville City, Precinct 12",186,51,51,288,218,506
"Roseville City, Precinct 13",96,45,31,172,124,296
"Roseville City, Precinct 14",124,66,43,233,223,456
"Roseville City, Precinct 15",268,81,89,438,249,687
"Warren City, Precinct 10",50,66,64,180,82,262
"Warren City, Precinct 13",25,23,22,70,83,153
"Warren City, Precinct 14",111,100,123,334,225,559
"Warren City, Precinct 15",82,122,129,333,223,556
"Warren City, Precinct 17",97,83,51,231,210,441
"Warren City, Precinct 23",130,92,103,325,288,613
"Warren City, Precinct 24",50,52,39,141,110,251
"Warren City, Precinct 25",72,86,32,190,209,399
"Warren City, Precinct 26",76,29,60,165,89,254
"Warren City, Precinct 27",187,153,152,492,580,"1,072"
"Warren City, Precinct 31",201,138,114,453,428,881
"Warren City, Precinct 33",188,84,98,370,446,816
"Warren City, Precinct 50",120,100,104,324,344,668
"Warren City, Precinct 58",197,125,78,400,513,913
Totals,"4,557","2,327","1,996","8,880","7,664","16,544"

