Precinct,"No Nomination",Overvotes/Undervotes,"Total Ballots Cast"
Totals,-,"21,275","21,275"
"Shelby Township, Precinct 1",-,"1,026","1,026"
"Shelby Township, Precinct 2",-,813,813
"Shelby Township, Precinct 3",-,365,365
"Shelby Township, Precinct 4",-,684,684
"Shelby Township, Precinct 5",-,513,513
"Shelby Township, Precinct 6",-,440,440
"Shelby Township, Precinct 7",-,828,828
"Shelby Township, Precinct 8",-,418,418
"Shelby Township, Precinct 9",-,382,382
"Shelby Township, Precinct 10",-,533,533
"Shelby Township, Precinct 11",-,653,653
"Shelby Township, Precinct 12",-,560,560
"Shelby Township, Precinct 13",-,413,413
"Shelby Township, Precinct 14",-,812,812
"Shelby Township, Precinct 15",-,875,875
"Shelby Township, Precinct 16",-,"1,132","1,132"
"Shelby Township, Precinct 17",-,876,876
"Shelby Township, Precinct 18",-,658,658
"Shelby Township, Precinct 19",-,593,593
"Shelby Township, Precinct 20",-,491,491
"Shelby Township, Precinct 21",-,307,307
"Shelby Township, Precinct 22",-,"1,161","1,161"
"Shelby Township, Precinct 23",-,955,955
"Shelby Township, Precinct 24",-,"1,273","1,273"
"Shelby Township, Precinct 25",-,875,875
"Shelby Township, Precinct 26",-,792,792
"Shelby Township, Precinct 27",-,807,807
"Shelby Township, Precinct 28",-,944,944
"Shelby Township, Precinct 29",-,478,478
"Shelby Township, Precinct 30",-,618,618
Totals,-,"21,275","21,275"

