Precinct,"Michael A. Chehab
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,770","6,770","11,613","18,383"
"Shelby Township, Precinct 2",164,164,649,813
"Shelby Township, Precinct 4",158,158,526,684
"Shelby Township, Precinct 5",158,158,355,513
"Shelby Township, Precinct 10",138,138,395,533
"Shelby Township, Precinct 25",208,208,667,875
"Shelby Township, Precinct 27",280,280,527,807
"Shelby Township, Precinct 28",288,288,656,944
"Shelby Township, Precinct 29",121,121,357,478
"Shelby Township, Precinct 30",138,138,480,618
"Sterling Heights City, Precinct 1",221,221,235,456
"Sterling Heights City, Precinct 2",364,364,356,720
"Sterling Heights City, Precinct 7",320,320,392,712
"Sterling Heights City, Precinct 8",262,262,327,589
"Sterling Heights City, Precinct 13",243,243,234,477
"Sterling Heights City, Precinct 14",216,216,197,413
"Sterling Heights City, Precinct 15",165,165,264,429
"Sterling Heights City, Precinct 16",202,202,239,441
"Sterling Heights City, Precinct 17",214,214,257,471
"Sterling Heights City, Precinct 22",192,192,302,494
"Sterling Heights City, Precinct 23",209,209,304,513
"Sterling Heights City, Precinct 24",203,203,296,499
"Sterling Heights City, Precinct 32",89,89,96,185
"Sterling Heights City, Precinct 33",231,231,353,584
"Sterling Heights City, Precinct 34",259,259,471,730
"Sterling Heights City, Precinct 35",151,151,199,350
"Sterling Heights City, Precinct 41",179,179,269,448
"Sterling Heights City, Precinct 43",432,432,690,"1,122"
"Sterling Heights City, Precinct 44",224,224,384,608
"Sterling Heights City, Precinct 45",331,331,450,781
"Utica City, Precinct 1",86,86,120,206
"Utica City, Precinct 2",136,136,298,434
"Utica City, Precinct 3",188,188,268,456
Totals,"6,770","6,770","11,613","18,383"

