Precinct,"Phil Kraft
Republican","Lyubov N. Arestova
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"7,036",636,"7,672","8,881","16,553"
"Chesterfield Township, Precinct 1",352,15,367,419,786
"Chesterfield Township, Precinct 2",315,30,345,381,726
"Chesterfield Township, Precinct 3",277,19,296,291,587
"Chesterfield Township, Precinct 4",189,20,209,286,495
"Chesterfield Township, Precinct 5",275,22,297,387,684
"Chesterfield Township, Precinct 6",270,34,304,287,591
"Chesterfield Township, Precinct 7",218,10,228,249,477
"Chesterfield Township, Precinct 8",235,31,266,292,558
"Chesterfield Township, Precinct 9",286,18,304,329,633
"Chesterfield Township, Precinct 10",466,64,530,438,968
"Chesterfield Township, Precinct 11",218,14,232,260,492
"Chesterfield Township, Precinct 12",211,26,237,327,564
"Chesterfield Township, Precinct 13",346,22,368,422,790
"Chesterfield Township, Precinct 14",175,18,193,233,426
"Chesterfield Township, Precinct 15",405,28,433,458,891
"Chesterfield Township, Precinct 16",303,23,326,343,669
"Chesterfield Township, Precinct 17",82,6,88,207,295
"Chesterfield Township, Precinct 18",174,19,193,275,468
"Chesterfield Township, Precinct 19",168,13,181,281,462
"Lenox Township, Precinct 1",246,20,266,237,503
"Lenox Township, Precinct 2",271,25,296,338,634
"Lenox Township, Precinct 3",169,26,195,379,574
"Lenox Township, Precinct 4",82,7,89,157,246
"New Baltimore City, Precinct 1",194,27,221,258,479
"New Baltimore City, Precinct 2",187,11,198,176,374
"New Baltimore City, Precinct 3",377,47,424,429,853
"New Baltimore City, Precinct 4",287,19,306,396,702
"New Baltimore City, Precinct 5",258,22,280,346,626
Totals,"7,036",636,"7,672","8,881","16,553"

