Precinct,"Michael E. LaBuhn
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,207","4,207","18,447","22,654"
"Armada Township, Precinct 1",170,170,922,"1,092"
"Armada Township, Precinct 2",89,89,686,775
"Bruce Township, Precinct 1",138,138,443,581
"Bruce Township, Precinct 2",180,180,900,"1,080"
"Bruce Township, Precinct 3",121,121,566,687
"Bruce Township, Precinct 4",112,112,712,824
"Memphis City, Precinct 1",50,50,136,186
"Ray Township, Precinct 1",82,82,532,614
"Ray Township, Precinct 2",138,138,697,835
"Richmond City, Precinct 1A",263,263,574,837
"Richmond City, Precinct 2",194,194,447,641
"Richmond Township, Precinct 1",76,76,398,474
"Richmond Township, Precinct 2",100,100,373,473
"Shelby Township, Precinct 1",193,193,833,"1,026"
"Shelby Township, Precinct 14",193,193,619,812
"Shelby Township, Precinct 23",161,161,794,955
"Shelby Township, Precinct 24",230,230,"1,043","1,273"
"Washington Township, Precinct 1",130,130,427,557
"Washington Township, Precinct 10",125,125,536,661
"Washington Township, Precinct 11",98,98,551,649
"Washington Township, Precinct 2",256,256,898,"1,154"
"Washington Township, Precinct 3",157,157,912,"1,069"
"Washington Township, Precinct 4",179,179,575,754
"Washington Township, Precinct 5",145,145,931,"1,076"
"Washington Township, Precinct 6",181,181,964,"1,145"
"Washington Township, Precinct 7",191,191,840,"1,031"
"Washington Township, Precinct 8",173,173,706,879
"Washington Township, Precinct 9",82,82,432,514
Totals,"4,207","4,207","18,447","22,654"

