Precinct,"Kevin Hertel
Democratic","Christopher Jeffery
Democratic","Patrick Biange
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"9,715","2,007","1,655","13,377","11,122","24,499"
"Eastpointe City, Precinct 1",183,52,48,283,133,416
"Eastpointe City, Precinct 2",298,92,48,438,172,610
"Eastpointe City, Precinct 3",211,57,51,319,219,538
"Eastpointe City, Precinct 4",213,45,64,322,190,512
"Eastpointe City, Precinct 5",208,81,28,317,183,500
"Eastpointe City, Precinct 6",194,95,58,347,172,519
"Eastpointe City, Precinct 7",267,82,53,402,109,511
"Eastpointe City, Precinct 8",358,139,54,551,124,675
"Eastpointe City, Precinct 9",235,83,51,369,94,463
"Eastpointe City, Precinct 10",120,47,40,207,124,331
"Eastpointe City, Precinct 11",213,97,33,343,137,480
"Eastpointe City, Precinct 12",327,117,102,546,265,811
"Eastpointe City, Precinct 13",155,30,28,213,78,291
"Eastpointe City, Precinct 14",303,97,35,435,142,577
"Village of Grosse Pointe Shores City, Precinct 3",7,0,1,8,22,30
"St. Clair Shores City, Precinct 1",414,41,71,526,623,"1,149"
"St. Clair Shores City, Precinct 2",376,61,41,478,503,981
"St. Clair Shores City, Precinct 3",378,54,42,474,404,878
"St. Clair Shores City, Precinct 4",337,44,65,446,454,900
"St. Clair Shores City, Precinct 5",376,56,46,478,338,816
"St. Clair Shores City, Precinct 6",348,84,62,494,282,776
"St. Clair Shores City, Precinct 7",205,17,49,271,218,489
"St. Clair Shores City, Precinct 8",296,32,33,361,382,743
"St. Clair Shores City, Precinct 9",167,35,25,227,260,487
"St. Clair Shores City, Precinct 10",342,23,50,415,417,832
"St. Clair Shores City, Precinct 11",149,18,12,179,187,366
"St. Clair Shores City, Precinct 12",344,45,56,445,547,992
"St. Clair Shores City, Precinct 13",368,25,57,450,708,"1,158"
"St. Clair Shores City, Precinct 14",130,18,10,158,163,321
"St. Clair Shores City, Precinct 15",329,48,58,435,461,896
"St. Clair Shores City, Precinct 16",283,40,40,363,454,817
"St. Clair Shores City, Precinct 17",340,43,45,428,555,983
"St. Clair Shores City, Precinct 18",243,34,27,304,414,718
"St. Clair Shores City, Precinct 19",200,31,40,271,344,615
"St. Clair Shores City, Precinct 20",167,32,18,217,210,427
"St. Clair Shores City, Precinct 21",211,47,42,300,360,660
"St. Clair Shores City, Precinct 22",166,24,43,233,321,554
"St. Clair Shores City, Precinct 23",254,41,29,324,353,677
Totals,"9,715","2,007","1,655","13,377","11,122","24,499"

