Precinct,"Antoinette Wallace
Democratic","Ed Bruley
Democratic","Vito Strolis
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,290","3,028","1,590","7,908","8,123","16,031"
"Clinton Township, Precinct 1",120,103,49,272,312,584
"Clinton Township, Precinct 2",44,41,24,109,136,245
"Clinton Township, Precinct 4",30,32,20,82,92,174
"Clinton Township, Precinct 6",128,162,64,354,232,586
"Clinton Township, Precinct 8",76,80,43,199,270,469
"Clinton Township, Precinct 14",36,45,17,98,135,233
"Clinton Township, Precinct 15",65,97,36,198,251,449
"Clinton Township, Precinct 28",148,74,59,281,142,423
"Clinton Township, Precinct 29",123,128,66,317,458,775
"Clinton Township, Precinct 34",216,65,50,331,188,519
"Clinton Township, Precinct 38",96,83,55,234,325,559
"Clinton Township, Precinct 42",173,116,48,337,271,608
"Clinton Township, Precinct 44",149,178,119,446,653,"1,099"
"Clinton Township, Precinct 45",79,132,74,285,405,690
"Clinton Township, Precinct 46",246,210,76,532,618,"1,150"
"Macomb Township, Precinct 2",72,118,43,233,441,674
"Macomb Township, Precinct 4",80,105,46,231,418,649
"Macomb Township, Precinct 10",131,67,33,231,246,477
"Macomb Township, Precinct 12",102,137,55,294,446,740
"Macomb Township, Precinct 18",99,71,55,225,248,473
"Macomb Township, Precinct 19",88,40,27,155,131,286
"Macomb Township, Precinct 33",52,72,37,161,303,464
"Mount Clemens City, Precinct 1",192,84,36,312,74,386
"Mount Clemens City, Precinct 2",103,176,114,393,246,639
"Mount Clemens City, Precinct 3",203,164,86,453,328,781
"Mount Clemens City, Precinct 4",72,101,62,235,144,379
"Mount Clemens City, Precinct 6",250,180,116,546,254,800
"Mount Clemens City, Precinct 9",117,167,80,364,356,720
Totals,"3,290","3,028","1,590","7,908","8,123","16,031"

