Precinct,"LuAnne Kandell
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Lenox Township, Precinct 1",121,121,382,503
"Lenox Township, Precinct 2",220,220,414,634
"Lenox Township, Precinct 3",293,293,281,574
"Lenox Township, Precinct 4",120,120,126,246
Totals,754,754,"1,203","1,957"

