Precinct,"Joseph V. Romano
Republican","Norbert A. Golembiewski
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,561","1,557","5,118","8,688","13,806"
"Sterling Heights City, Precinct 1",99,59,158,298,456
"Sterling Heights City, Precinct 2",161,81,242,478,720
"Sterling Heights City, Precinct 3",162,107,269,573,842
"Sterling Heights City, Precinct 4",243,90,333,669,"1,002"
"Sterling Heights City, Precinct 5",211,95,306,608,914
"Sterling Heights City, Precinct 6",152,62,214,304,518
"Sterling Heights City, Precinct 7",185,101,286,426,712
"Sterling Heights City, Precinct 8",165,67,232,357,589
"Sterling Heights City, Precinct 9",97,36,133,198,331
"Sterling Heights City, Precinct 10",237,77,314,449,763
"Sterling Heights City, Precinct 11",127,47,174,266,440
"Sterling Heights City, Precinct 12",254,95,349,501,850
"Sterling Heights City, Precinct 13",119,56,175,302,477
"Sterling Heights City, Precinct 14",113,26,139,274,413
"Sterling Heights City, Precinct 15",137,67,204,225,429
"Sterling Heights City, Precinct 18",208,91,299,479,778
"Sterling Heights City, Precinct 19",211,78,289,496,785
"Sterling Heights City, Precinct 20",206,79,285,426,711
"Sterling Heights City, Precinct 22",133,80,213,281,494
"Sterling Heights City, Precinct 25",253,112,365,505,870
"Sterling Heights City, Precinct 30",88,51,139,223,362
"Sterling Heights City, Precinct 35",0,0,0,350,350
Totals,"3,561","1,557","5,118","8,688","13,806"

