Precinct,"Mary Ellen Childs
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,595","3,595","9,760","13,355"
"Warren City, Precinct 1",112,112,429,541
"Warren City, Precinct 3",103,103,433,536
"Warren City, Precinct 4",113,113,320,433
"Warren City, Precinct 5",97,97,348,445
"Warren City, Precinct 6",142,142,398,540
"Warren City, Precinct 7",54,54,221,275
"Warren City, Precinct 18",35,35,103,138
"Warren City, Precinct 19",123,123,370,493
"Warren City, Precinct 20",167,167,484,651
"Warren City, Precinct 34",74,74,280,354
"Warren City, Precinct 35",214,214,528,742
"Warren City, Precinct 36",322,322,786,"1,108"
"Warren City, Precinct 38",208,208,667,875
"Warren City, Precinct 43",186,186,474,660
"Warren City, Precinct 44",124,124,428,552
"Warren City, Precinct 45",164,164,418,582
"Warren City, Precinct 46",133,133,373,506
"Warren City, Precinct 47",251,251,556,807
"Warren City, Precinct 48",90,90,326,416
"Warren City, Precinct 53",129,129,326,455
"Warren City, Precinct 54",235,235,455,690
"Warren City, Precinct 55",210,210,429,639
"Warren City, Precinct 56",114,114,229,343
"Warren City, Precinct 57",195,195,379,574
Totals,"3,595","3,595","9,760","13,355"

