Precinct,"Paul Gieleghem
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"11,402","11,402","14,313","25,715"
"Clinton Township, Precinct 1",253,253,331,584
"Clinton Township, Precinct 2",101,101,144,245
"Clinton Township, Precinct 3",266,266,225,491
"Clinton Township, Precinct 4",75,75,99,174
"Clinton Township, Precinct 5",303,303,67,370
"Clinton Township, Precinct 6",336,336,250,586
"Clinton Township, Precinct 7",125,125,137,262
"Clinton Township, Precinct 8",189,189,280,469
"Clinton Township, Precinct 9",147,147,179,326
"Clinton Township, Precinct 10",194,194,372,566
"Clinton Township, Precinct 11",236,236,219,455
"Clinton Township, Precinct 12",130,130,123,253
"Clinton Township, Precinct 13",238,238,296,534
"Clinton Township, Precinct 14",97,97,136,233
"Clinton Township, Precinct 15",184,184,265,449
"Clinton Township, Precinct 16",288,288,358,646
"Clinton Township, Precinct 17",200,200,271,471
"Clinton Township, Precinct 18",170,170,336,506
"Clinton Township, Precinct 19",222,222,463,685
"Clinton Township, Precinct 20",57,57,36,93
"Clinton Township, Precinct 21",194,194,155,349
"Clinton Township, Precinct 22",326,326,209,535
"Clinton Township, Precinct 23",321,321,470,791
"Clinton Township, Precinct 24",192,192,285,477
"Clinton Township, Precinct 25",268,268,289,557
"Clinton Township, Precinct 26",255,255,411,666
"Clinton Township, Precinct 27",208,208,400,608
"Clinton Township, Precinct 28",260,260,163,423
"Clinton Township, Precinct 29",305,305,470,775
"Clinton Township, Precinct 30",263,263,272,535
"Clinton Township, Precinct 31",303,303,326,629
"Clinton Township, Precinct 32",195,195,256,451
"Clinton Township, Precinct 33",412,412,452,864
"Clinton Township, Precinct 34",312,312,207,519
"Clinton Township, Precinct 35",452,452,662,"1,114"
"Clinton Township, Precinct 36",301,301,345,646
"Clinton Township, Precinct 37",370,370,504,874
"Clinton Township, Precinct 38",224,224,335,559
"Clinton Township, Precinct 39",242,242,359,601
"Clinton Township, Precinct 40",353,353,479,832
"Clinton Township, Precinct 41",243,243,387,630
"Clinton Township, Precinct 42",318,318,290,608
"Clinton Township, Precinct 43",122,122,213,335
"Clinton Township, Precinct 44",392,392,707,"1,099"
"Clinton Township, Precinct 45",264,264,426,690
"Clinton Township, Precinct 46",496,496,654,"1,150"
Totals,"11,402","11,402","14,313","25,715"

