Precinct,"Dan Acciavatti
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"5,486","5,486","6,076","11,562"
"Chesterfield Township, Precinct 1",369,369,417,786
"Chesterfield Township, Precinct 2",331,331,395,726
"Chesterfield Township, Precinct 3",296,296,291,587
"Chesterfield Township, Precinct 4",210,210,285,495
"Chesterfield Township, Precinct 5",311,311,373,684
"Chesterfield Township, Precinct 6",306,306,285,591
"Chesterfield Township, Precinct 7",234,234,243,477
"Chesterfield Township, Precinct 8",284,284,274,558
"Chesterfield Township, Precinct 9",308,308,325,633
"Chesterfield Township, Precinct 10",562,562,406,968
"Chesterfield Township, Precinct 11",239,239,253,492
"Chesterfield Township, Precinct 12",231,231,333,564
"Chesterfield Township, Precinct 13",372,372,418,790
"Chesterfield Township, Precinct 14",209,209,217,426
"Chesterfield Township, Precinct 15",429,429,462,891
"Chesterfield Township, Precinct 16",330,330,339,669
"Chesterfield Township, Precinct 17",80,80,215,295
"Chesterfield Township, Precinct 18",202,202,266,468
"Chesterfield Township, Precinct 19",183,183,279,462
Totals,"5,486","5,486","6,076","11,562"

