Precinct,"Stanley Grot
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"10,850","10,850","10,425","21,275"
"Shelby Township, Precinct 1",543,543,483,"1,026"
"Shelby Township, Precinct 2",473,473,340,813
"Shelby Township, Precinct 3",198,198,167,365
"Shelby Township, Precinct 4",351,351,333,684
"Shelby Township, Precinct 5",218,218,295,513
"Shelby Township, Precinct 6",174,174,266,440
"Shelby Township, Precinct 7",427,427,401,828
"Shelby Township, Precinct 8",223,223,195,418
"Shelby Township, Precinct 9",174,174,208,382
"Shelby Township, Precinct 10",285,285,248,533
"Shelby Township, Precinct 11",318,318,335,653
"Shelby Township, Precinct 12",333,333,227,560
"Shelby Township, Precinct 13",211,211,202,413
"Shelby Township, Precinct 14",415,415,397,812
"Shelby Township, Precinct 15",457,457,418,875
"Shelby Township, Precinct 16",602,602,530,"1,132"
"Shelby Township, Precinct 17",416,416,460,876
"Shelby Township, Precinct 18",313,313,345,658
"Shelby Township, Precinct 19",308,308,285,593
"Shelby Township, Precinct 20",216,216,275,491
"Shelby Township, Precinct 21",86,86,221,307
"Shelby Township, Precinct 22",623,623,538,"1,161"
"Shelby Township, Precinct 23",568,568,387,955
"Shelby Township, Precinct 24",748,748,525,"1,273"
"Shelby Township, Precinct 25",444,444,431,875
"Shelby Township, Precinct 26",372,372,420,792
"Shelby Township, Precinct 27",368,368,439,807
"Shelby Township, Precinct 28",437,437,507,944
"Shelby Township, Precinct 29",240,240,238,478
"Shelby Township, Precinct 30",309,309,309,618
Totals,"10,850","10,850","10,425","21,275"

