Precinct,"Vince Viviano
Republican","Lisa Casali
Republican","John Vermeulen
Republican","Lucia DiCicco
Republican","Lynn Wilhelm
Republican","David B. Viar
Republican","Ronald L. Campbell, Jr.
Republican","Judy Guzzardo
Republican","Darlene J. Doetzel
Republican","Total Votes Cast","Total Ballots Cast"
Totals,"6,831","6,688","5,420","5,192","4,251","3,907","3,110","2,834","1,795","40,028","21,275"
"Shelby Township, Precinct 1",348,382,263,280,250,202,165,164,83,"2,137","1,026"
"Shelby Township, Precinct 2",267,265,227,198,173,168,174,117,105,"1,694",813
"Shelby Township, Precinct 3",127,115,87,106,74,67,51,60,40,727,365
"Shelby Township, Precinct 4",212,196,173,133,112,122,105,96,76,"1,225",684
"Shelby Township, Precinct 5",145,123,95,91,68,57,46,84,39,748,513
"Shelby Township, Precinct 6",113,101,88,85,73,46,47,44,23,620,440
"Shelby Township, Precinct 7",272,272,281,202,198,201,110,96,55,"1,687",828
"Shelby Township, Precinct 8",158,134,138,136,95,105,65,45,28,904,418
"Shelby Township, Precinct 9",93,79,68,84,73,59,63,47,34,600,382
"Shelby Township, Precinct 10",145,169,142,113,124,96,81,68,47,985,533
"Shelby Township, Precinct 11",195,162,154,136,119,113,118,66,40,"1,103",653
"Shelby Township, Precinct 12",200,205,170,163,122,136,94,74,60,"1,224",560
"Shelby Township, Precinct 13",121,136,128,90,96,110,69,57,48,855,413
"Shelby Township, Precinct 14",280,269,222,230,156,157,114,109,50,"1,587",812
"Shelby Township, Precinct 15",295,232,244,206,179,193,147,115,95,"1,706",875
"Shelby Township, Precinct 16",404,404,307,339,250,227,154,141,57,"2,283","1,132"
"Shelby Township, Precinct 17",280,263,195,196,161,150,118,90,64,"1,517",876
"Shelby Township, Precinct 18",192,197,134,130,145,104,86,61,57,"1,106",658
"Shelby Township, Precinct 19",207,188,144,151,141,101,92,76,58,"1,158",593
"Shelby Township, Precinct 20",119,124,88,128,70,67,81,84,36,797,491
"Shelby Township, Precinct 21",50,44,33,49,25,28,31,22,23,305,307
"Shelby Township, Precinct 22",398,376,321,307,276,198,164,161,100,"2,301","1,161"
"Shelby Township, Precinct 23",352,408,282,339,186,207,140,167,130,"2,211",955
"Shelby Township, Precinct 24",459,581,405,299,269,271,186,173,122,"2,765","1,273"
"Shelby Township, Precinct 25",306,263,240,211,174,153,100,131,56,"1,634",875
"Shelby Township, Precinct 26",248,208,175,156,139,106,112,94,54,"1,292",792
"Shelby Township, Precinct 27",227,209,172,154,144,122,98,99,64,"1,289",807
"Shelby Township, Precinct 28",280,256,204,209,158,168,123,132,64,"1,594",944
"Shelby Township, Precinct 29",162,140,81,118,70,77,75,74,42,839,478
"Shelby Township, Precinct 30",176,187,159,153,131,96,101,87,45,"1,135",618
Totals,"6,831","6,688","5,420","5,192","4,251","3,907","3,110","2,834","1,795","40,028","21,275"

