Precinct,"Mai Xiong
Democratic","Marvin E. Sauger
Democratic","Robert Boccomino
Democratic","Jacqueline Sproles
Democratic","Danielle Paniccia Khalil
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,797","1,863","1,009",960,944,"7,573","6,523","14,096"
"Center Line City, Precinct 1",93,82,23,16,26,240,182,422
"Center Line City, Precinct 2",71,67,17,24,54,233,112,345
"Center Line City, Precinct 3",120,108,14,27,27,296,159,455
"Center Line City, Precinct 4",40,61,9,18,9,137,113,250
"Center Line City, Precinct 5",43,48,11,17,15,134,106,240
"Warren City, Precinct 8",46,32,37,25,34,174,120,294
"Warren City, Precinct 9",64,44,20,38,45,211,128,339
"Warren City, Precinct 10",58,44,11,41,29,183,79,262
"Warren City, Precinct 11",3,1,1,0,1,6,3,9
"Warren City, Precinct 12",59,21,18,23,19,140,83,223
"Warren City, Precinct 13",24,18,13,8,11,74,79,153
"Warren City, Precinct 14",110,79,30,59,63,341,218,559
"Warren City, Precinct 22",104,98,71,42,29,344,349,693
"Warren City, Precinct 23",115,99,50,58,33,355,258,613
"Warren City, Precinct 24",54,28,20,21,19,142,109,251
"Warren City, Precinct 27",278,96,82,24,49,529,543,"1,072"
"Warren City, Precinct 28",191,95,66,71,94,517,370,887
"Warren City, Precinct 31",231,120,36,68,30,485,396,881
"Warren City, Precinct 32",146,81,36,70,25,358,357,715
"Warren City, Precinct 33",167,78,53,31,58,387,429,816
"Warren City, Precinct 41",144,128,107,37,72,488,362,850
"Warren City, Precinct 49",142,93,59,41,56,391,406,797
"Warren City, Precinct 50",99,92,40,67,40,338,330,668
"Warren City, Precinct 51",166,86,64,80,39,435,453,888
"Warren City, Precinct 52",88,45,33,21,24,211,290,501
"Warren City, Precinct 58",141,119,88,33,43,424,489,913
Totals,"2,797","1,863","1,009",960,944,"7,573","6,523","14,096"

