Precinct,"Mike Fillbrook
Republican","Paul Okoniewski
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Bruce Township, Precinct 1",182,148,330,251,581
"Bruce Township, Precinct 2",358,371,729,351,"1,080"
"Bruce Township, Precinct 3",268,198,466,221,687
"Bruce Township, Precinct 4",377,214,591,233,824
Totals,"1,185",931,"2,116","1,056","3,172"

