Precinct,"Kathy Riedel Honold
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Lenox Township, Precinct 1",121,121,382,503
"Lenox Township, Precinct 2",220,220,414,634
"Lenox Township, Precinct 3",292,292,282,574
"Lenox Township, Precinct 4",120,120,126,246
Totals,753,753,"1,204","1,957"

