Precinct,"Peter J. Lucido
Republican","Richard John Goodman
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"65,576","30,449","96,025","116,488","212,513"
"Armada Township, Precinct 1",362,316,678,414,"1,092"
"Armada Township, Precinct 2",304,191,495,280,775
"Bruce Township, Precinct 1",215,140,355,226,581
"Bruce Township, Precinct 2",551,200,751,329,"1,080"
"Bruce Township, Precinct 3",301,163,464,223,687
"Bruce Township, Precinct 4",406,175,581,243,824
"Center Line City, Precinct 1",89,61,150,272,422
"Center Line City, Precinct 2",47,29,76,269,345
"Center Line City, Precinct 3",66,60,126,329,455
"Center Line City, Precinct 4",50,36,86,164,250
"Center Line City, Precinct 5",45,38,83,157,240
"Chesterfield Township, Precinct 1",252,158,410,376,786
"Chesterfield Township, Precinct 2",235,137,372,354,726
"Chesterfield Township, Precinct 3",228,103,331,256,587
"Chesterfield Township, Precinct 4",176,64,240,255,495
"Chesterfield Township, Precinct 5",211,119,330,354,684
"Chesterfield Township, Precinct 6",257,80,337,254,591
"Chesterfield Township, Precinct 7",184,63,247,230,477
"Chesterfield Township, Precinct 8",213,92,305,253,558
"Chesterfield Township, Precinct 9",248,92,340,293,633
"Chesterfield Township, Precinct 10",440,175,615,353,968
"Chesterfield Township, Precinct 11",157,101,258,234,492
"Chesterfield Township, Precinct 12",194,68,262,302,564
"Chesterfield Township, Precinct 13",287,120,407,383,790
"Chesterfield Township, Precinct 14",160,59,219,207,426
"Chesterfield Township, Precinct 15",334,144,478,413,891
"Chesterfield Township, Precinct 16",234,130,364,305,669
"Chesterfield Township, Precinct 17",64,28,92,203,295
"Chesterfield Township, Precinct 18",168,49,217,251,468
"Chesterfield Township, Precinct 19",128,76,204,258,462
"Clinton Township, Precinct 1",184,41,225,359,584
"Clinton Township, Precinct 2",64,42,106,139,245
"Clinton Township, Precinct 3",110,49,159,332,491
"Clinton Township, Precinct 4",41,30,71,103,174
"Clinton Township, Precinct 5",14,7,21,349,370
"Clinton Township, Precinct 6",119,53,172,414,586
"Clinton Township, Precinct 7",62,38,100,162,262
"Clinton Township, Precinct 8",136,54,190,279,469
"Clinton Township, Precinct 9",80,46,126,200,326
"Clinton Township, Precinct 10",212,86,298,268,566
"Clinton Township, Precinct 11",103,54,157,298,455
"Clinton Township, Precinct 12",61,28,89,164,253
"Clinton Township, Precinct 13",126,74,200,334,534
"Clinton Township, Precinct 14",67,43,110,123,233
"Clinton Township, Precinct 15",138,54,192,257,449
"Clinton Township, Precinct 16",166,79,245,401,646
"Clinton Township, Precinct 17",136,66,202,269,471
"Clinton Township, Precinct 18",174,60,234,272,506
"Clinton Township, Precinct 19",246,102,348,337,685
"Clinton Township, Precinct 20",14,11,25,68,93
"Clinton Township, Precinct 21",67,34,101,248,349
"Clinton Township, Precinct 22",81,43,124,411,535
"Clinton Township, Precinct 23",226,94,320,471,791
"Clinton Township, Precinct 24",138,61,199,278,477
"Clinton Township, Precinct 25",123,69,192,365,557
"Clinton Township, Precinct 26",209,92,301,365,666
"Clinton Township, Precinct 27",220,77,297,311,608
"Clinton Township, Precinct 28",60,35,95,328,423
"Clinton Township, Precinct 29",244,103,347,428,775
"Clinton Township, Precinct 30",104,63,167,368,535
"Clinton Township, Precinct 31",159,74,233,396,629
"Clinton Township, Precinct 32",137,57,194,257,451
"Clinton Township, Precinct 33",228,100,328,536,864
"Clinton Township, Precinct 34",83,52,135,384,519
"Clinton Township, Precinct 35",381,109,490,624,"1,114"
"Clinton Township, Precinct 36",173,59,232,414,646
"Clinton Township, Precinct 37",252,94,346,528,874
"Clinton Township, Precinct 38",166,79,245,314,559
"Clinton Township, Precinct 39",172,80,252,349,601
"Clinton Township, Precinct 40",233,107,340,492,832
"Clinton Township, Precinct 41",191,87,278,352,630
"Clinton Township, Precinct 42",135,59,194,414,608
"Clinton Township, Precinct 43",115,47,162,173,335
"Clinton Township, Precinct 44",324,180,504,595,"1,099"
"Clinton Township, Precinct 45",198,107,305,385,690
"Clinton Township, Precinct 46",329,137,466,684,"1,150"
"Eastpointe City, Precinct 1",51,33,84,332,416
"Eastpointe City, Precinct 2",74,42,116,494,610
"Eastpointe City, Precinct 3",107,51,158,380,538
"Eastpointe City, Precinct 4",86,41,127,385,512
"Eastpointe City, Precinct 5",100,33,133,367,500
"Eastpointe City, Precinct 6",65,35,100,419,519
"Eastpointe City, Precinct 7",34,17,51,460,511
"Eastpointe City, Precinct 8",40,13,53,622,675
"Eastpointe City, Precinct 9",29,18,47,416,463
"Eastpointe City, Precinct 10",66,23,89,242,331
"Eastpointe City, Precinct 11",82,19,101,379,480
"Eastpointe City, Precinct 12",127,59,186,625,811
"Eastpointe City, Precinct 13",40,18,58,233,291
"Eastpointe City, Precinct 14",67,21,88,489,577
"Fraser City, Precinct 1",113,68,181,240,421
"Fraser City, Precinct 2",210,103,313,332,645
"Fraser City, Precinct 3",184,76,260,484,744
"Fraser City, Precinct 4",139,76,215,358,573
"Fraser City, Precinct 5",43,24,67,109,176
"Fraser City, Precinct 6",215,121,336,451,787
"Fraser City, Precinct 7",96,47,143,266,409
"Village of Grosse Pointe Shores City, Precinct 3",13,5,18,12,30
"Harrison Township, Precinct 1",238,87,325,379,704
"Harrison Township, Precinct 2",263,98,361,499,860
"Harrison Township, Precinct 3",341,118,459,361,820
"Harrison Township, Precinct 4",300,121,421,441,862
"Harrison Township, Precinct 5",465,179,644,328,972
"Harrison Township, Precinct 6",348,124,472,435,907
"Harrison Township, Precinct 7",366,158,524,399,923
"Harrison Township, Precinct 8",146,51,197,333,530
"Harrison Township, Precinct 9",375,131,506,329,835
"Harrison Township, Precinct 10",295,123,418,344,762
"Lenox Township, Precinct 1",208,96,304,199,503
"Lenox Township, Precinct 2",197,115,312,322,634
"Lenox Township, Precinct 3",142,71,213,361,574
"Lenox Township, Precinct 4",61,38,99,147,246
"Macomb Township, Precinct 1",230,94,324,217,541
"Macomb Township, Precinct 2",213,127,340,334,674
"Macomb Township, Precinct 3",241,98,339,260,599
"Macomb Township, Precinct 4",226,107,333,316,649
"Macomb Township, Precinct 5",257,142,399,378,777
"Macomb Township, Precinct 6",203,91,294,295,589
"Macomb Township, Precinct 7",216,96,312,280,592
"Macomb Township, Precinct 8",224,111,335,319,654
"Macomb Township, Precinct 9",194,114,308,158,466
"Macomb Township, Precinct 10",115,60,175,302,477
"Macomb Township, Precinct 11",282,139,421,340,761
"Macomb Township, Precinct 12",241,123,364,376,740
"Macomb Township, Precinct 13",274,109,383,286,669
"Macomb Township, Precinct 14",294,155,449,328,777
"Macomb Township, Precinct 15",384,129,513,337,850
"Macomb Township, Precinct 16",334,170,504,395,899
"Macomb Township, Precinct 17",275,141,416,364,780
"Macomb Township, Precinct 18",132,61,193,280,473
"Macomb Township, Precinct 19",71,29,100,186,286
"Macomb Township, Precinct 20",243,121,364,319,683
"Macomb Township, Precinct 21",335,145,480,371,851
"Macomb Township, Precinct 22",300,144,444,354,798
"Macomb Township, Precinct 23",287,171,458,315,773
"Macomb Township, Precinct 24",315,183,498,438,936
"Macomb Township, Precinct 25",194,80,274,217,491
"Macomb Township, Precinct 26",181,80,261,189,450
"Macomb Township, Precinct 27",326,135,461,335,796
"Macomb Township, Precinct 28",208,98,306,226,532
"Macomb Township, Precinct 29",160,96,256,316,572
"Macomb Township, Precinct 30",266,122,388,276,664
"Macomb Township, Precinct 31",187,94,281,221,502
"Macomb Township, Precinct 32",271,112,383,251,634
"Macomb Township, Precinct 33",170,61,231,233,464
"Macomb Township, Precinct 34",197,114,311,249,560
"Macomb Township, Precinct 35",184,103,287,329,616
"Macomb Township, Precinct 36",155,102,257,230,487
"Macomb Township, Precinct 37",242,122,364,243,607
"Memphis City, Precinct 1",63,46,109,77,186
"Mount Clemens City, Precinct 1",24,26,50,336,386
"Mount Clemens City, Precinct 2",128,72,200,439,639
"Mount Clemens City, Precinct 3",167,84,251,530,781
"Mount Clemens City, Precinct 4",67,37,104,275,379
"Mount Clemens City, Precinct 6",109,67,176,624,800
"Mount Clemens City, Precinct 9",185,96,281,439,720
"New Baltimore City, Precinct 1",141,98,239,240,479
"New Baltimore City, Precinct 2",141,66,207,167,374
"New Baltimore City, Precinct 3",296,185,481,372,853
"New Baltimore City, Precinct 4",232,108,340,362,702
"New Baltimore City, Precinct 5",182,130,312,314,626
"Ray Township, Precinct 1",278,139,417,197,614
"Ray Township, Precinct 2",383,171,554,281,835
"Richmond City, Precinct 1",300,163,463,374,837
"Richmond City, Precinct 2",216,138,354,287,641
"Richmond Township, Precinct 1",191,132,323,151,474
"Richmond Township, Precinct 2",198,110,308,165,473
"Roseville City, Precinct 1",138,67,205,348,553
"Roseville City, Precinct 2",168,93,261,571,832
"Roseville City, Precinct 3",85,43,128,430,558
"Roseville City, Precinct 4",75,28,103,233,336
"Roseville City, Precinct 5",111,57,168,332,500
"Roseville City, Precinct 6",170,113,283,439,722
"Roseville City, Precinct 7",169,77,246,494,740
"Roseville City, Precinct 8",157,77,234,497,731
"Roseville City, Precinct 9",217,91,308,520,828
"Roseville City, Precinct 10",97,55,152,251,403
"Roseville City, Precinct 11",108,71,179,379,558
"Roseville City, Precinct 12",114,49,163,343,506
"Roseville City, Precinct 13",63,30,93,203,296
"Roseville City, Precinct 14",118,50,168,288,456
"Roseville City, Precinct 15",114,48,162,525,687
"Shelby Township, Precinct 1",454,220,674,352,"1,026"
"Shelby Township, Precinct 2",398,140,538,275,813
"Shelby Township, Precinct 3",166,66,232,133,365
"Shelby Township, Precinct 4",294,126,420,264,684
"Shelby Township, Precinct 5",153,93,246,267,513
"Shelby Township, Precinct 6",146,55,201,239,440
"Shelby Township, Precinct 7",396,141,537,291,828
"Shelby Township, Precinct 8",205,81,286,132,418
"Shelby Township, Precinct 9",123,69,192,190,382
"Shelby Township, Precinct 10",219,104,323,210,533
"Shelby Township, Precinct 11",228,122,350,303,653
"Shelby Township, Precinct 12",275,110,385,175,560
"Shelby Township, Precinct 13",180,79,259,154,413
"Shelby Township, Precinct 14",354,157,511,301,812
"Shelby Township, Precinct 15",361,180,541,334,875
"Shelby Township, Precinct 16",511,211,722,410,"1,132"
"Shelby Township, Precinct 17",339,175,514,362,876
"Shelby Township, Precinct 18",258,88,346,312,658
