Precinct,"Frank V. DiGiorgio
Republican","Robert Biluk
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Bruce Township, Precinct 1",160,137,297,284,581
"Bruce Township, Precinct 2",359,315,674,406,"1,080"
"Bruce Township, Precinct 3",191,238,429,258,687
"Bruce Township, Precinct 4",310,222,532,292,824
Totals,"1,020",912,"1,932","1,240","3,172"

