Precinct,"Lori M. Stone
Democratic","William S. Massad
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"8,316","1,160","9,476","7,084","16,560"
"Center Line City, Precinct 1",197,35,232,190,422
"Center Line City, Precinct 2",207,20,227,118,345
"Center Line City, Precinct 3",245,39,284,171,455
"Center Line City, Precinct 4",117,16,133,117,250
"Center Line City, Precinct 5",122,12,134,106,240
"Warren City, Precinct 1",328,38,366,175,541
"Warren City, Precinct 3",312,66,378,158,536
"Warren City, Precinct 4",241,26,267,166,433
"Warren City, Precinct 5",253,47,300,145,445
"Warren City, Precinct 6",295,35,330,210,540
"Warren City, Precinct 7",158,24,182,93,275
"Warren City, Precinct 8",154,19,173,121,294
"Warren City, Precinct 9",185,28,213,126,339
"Warren City, Precinct 11",5,1,6,3,9
"Warren City, Precinct 12",119,24,143,80,223
"Warren City, Precinct 18",77,10,87,51,138
"Warren City, Precinct 19",242,47,289,204,493
"Warren City, Precinct 20",353,35,388,263,651
"Warren City, Precinct 22",320,30,350,343,693
"Warren City, Precinct 28",472,42,514,373,887
"Warren City, Precinct 32",321,39,360,355,715
"Warren City, Precinct 34",190,37,227,127,354
"Warren City, Precinct 35",366,54,420,322,742
"Warren City, Precinct 36",515,63,578,530,"1,108"
"Warren City, Precinct 38",441,99,540,335,875
"Warren City, Precinct 45",281,43,324,258,582
"Warren City, Precinct 46",243,44,287,219,506
"Warren City, Precinct 47",361,43,404,403,807
"Warren City, Precinct 48",230,28,258,158,416
"Warren City, Precinct 54",285,20,305,385,690
"Warren City, Precinct 55",290,37,327,312,639
"Warren City, Precinct 56",147,15,162,181,343
"Warren City, Precinct 57",244,44,288,286,574
Totals,"8,316","1,160","9,476","7,084","16,560"

