Precinct,"Michelle Woodman
Democratic","Alex Bronson
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,093","3,182","9,275","16,281","25,556"
"Clinton Township, Precinct 1",167,82,249,335,584
"Clinton Township, Precinct 4",62,15,77,97,174
"Clinton Township, Precinct 10",131,51,182,384,566
"Clinton Township, Precinct 27",167,50,217,391,608
"Clinton Township, Precinct 28",191,83,274,149,423
"Clinton Township, Precinct 29",214,90,304,471,775
"Clinton Township, Precinct 34",221,102,323,196,519
"Clinton Township, Precinct 36",217,96,313,333,646
"Clinton Township, Precinct 37",247,115,362,512,874
"Clinton Township, Precinct 38",155,57,212,347,559
"Clinton Township, Precinct 39",148,83,231,370,601
"Clinton Township, Precinct 40",250,104,354,478,832
"Clinton Township, Precinct 41",142,93,235,395,630
"Clinton Township, Precinct 42",240,78,318,290,608
"Clinton Township, Precinct 44",276,134,410,689,"1,099"
"Clinton Township, Precinct 45",193,82,275,415,690
"Clinton Township, Precinct 46",320,180,500,650,"1,150"
"Harrison Township, Precinct 1",185,89,274,430,704
"Harrison Township, Precinct 2",210,127,337,523,860
"Harrison Township, Precinct 3",135,87,222,598,820
"Harrison Township, Precinct 4",169,113,282,580,862
"Harrison Township, Precinct 5",93,64,157,815,972
"Harrison Township, Precinct 6",178,100,278,629,907
"Harrison Township, Precinct 7",140,91,231,692,923
"Harrison Township, Precinct 8",155,74,229,301,530
"Harrison Township, Precinct 9",106,66,172,663,835
"Harrison Township, Precinct 10",112,82,194,568,762
"Macomb Township, Precinct 3",108,68,176,423,599
"Macomb Township, Precinct 4",124,104,228,421,649
"Macomb Township, Precinct 6",149,60,209,380,589
"Macomb Township, Precinct 7",108,95,203,389,592
"Macomb Township, Precinct 12",181,105,286,454,740
"Macomb Township, Precinct 14",130,87,217,560,777
"Macomb Township, Precinct 19",98,52,150,136,286
"Macomb Township, Precinct 20",129,90,219,464,683
"Macomb Township, Precinct 30",141,77,218,446,664
"Macomb Township, Precinct 33",101,56,157,307,464
Totals,"6,093","3,182","9,275","16,281","25,556"

