Precinct,"Kathy Elliott
Republican","Paul S. Lafata
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,080","2,665","5,745","5,817","11,562"
"Chesterfield Township, Precinct 1",220,162,382,404,786
"Chesterfield Township, Precinct 2",172,199,371,355,726
"Chesterfield Township, Precinct 3",170,133,303,284,587
"Chesterfield Township, Precinct 4",118,107,225,270,495
"Chesterfield Township, Precinct 5",192,125,317,367,684
"Chesterfield Township, Precinct 6",149,175,324,267,591
"Chesterfield Township, Precinct 7",129,115,244,233,477
"Chesterfield Township, Precinct 8",160,138,298,260,558
"Chesterfield Township, Precinct 9",173,137,310,323,633
"Chesterfield Township, Precinct 10",296,287,583,385,968
"Chesterfield Township, Precinct 11",140,107,247,245,492
"Chesterfield Township, Precinct 12",128,118,246,318,564
"Chesterfield Township, Precinct 13",216,165,381,409,790
"Chesterfield Township, Precinct 14",110,107,217,209,426
"Chesterfield Township, Precinct 15",263,195,458,433,891
"Chesterfield Township, Precinct 16",196,151,347,322,669
"Chesterfield Township, Precinct 17",47,38,85,210,295
"Chesterfield Township, Precinct 18",89,122,211,257,468
"Chesterfield Township, Precinct 19",112,84,196,266,462
Totals,"3,080","2,665","5,745","5,817","11,562"

