Precinct,"Steven G. Warner
Republican","Jeff Bonnell
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,667","2,548","5,215","11,329","16,544"
"Roseville City, Precinct 1",85,111,196,357,553
"Roseville City, Precinct 2",134,109,243,589,832
"Roseville City, Precinct 3",54,65,119,439,558
"Roseville City, Precinct 4",53,46,99,237,336
"Roseville City, Precinct 5",65,98,163,337,500
"Roseville City, Precinct 6",137,129,266,456,722
"Roseville City, Precinct 7",100,133,233,507,740
"Roseville City, Precinct 8",126,95,221,510,731
"Roseville City, Precinct 9",121,172,293,535,828
"Roseville City, Precinct 10",77,63,140,263,403
"Roseville City, Precinct 11",67,114,181,377,558
"Roseville City, Precinct 12",90,67,157,349,506
"Roseville City, Precinct 13",42,47,89,207,296
"Roseville City, Precinct 14",80,75,155,301,456
"Roseville City, Precinct 15",65,89,154,533,687
"Warren City, Precinct 10",28,25,53,209,262
"Warren City, Precinct 13",36,26,62,91,153
"Warren City, Precinct 14",74,75,149,410,559
"Warren City, Precinct 15",78,67,145,411,556
"Warren City, Precinct 17",79,55,134,307,441
"Warren City, Precinct 23",80,98,178,435,613
"Warren City, Precinct 24",46,31,77,174,251
"Warren City, Precinct 25",53,82,135,264,399
"Warren City, Precinct 26",32,23,55,199,254
"Warren City, Precinct 27",195,191,386,686,"1,072"
"Warren City, Precinct 31",138,110,248,633,881
"Warren City, Precinct 33",170,139,309,507,816
"Warren City, Precinct 50",149,87,236,432,668
"Warren City, Precinct 58",213,126,339,574,913
Totals,"2,667","2,548","5,215","11,329","16,544"

