Precinct,"Kristi L. Pozzi
Republican","Francesca Biondo
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"7,694","4,724","12,418","11,251","23,669"
"Macomb Township, Precinct 1",174,145,319,222,541
"Macomb Township, Precinct 2",204,124,328,346,674
"Macomb Township, Precinct 3",182,153,335,264,599
"Macomb Township, Precinct 4",185,123,308,341,649
"Macomb Township, Precinct 5",238,150,388,389,777
"Macomb Township, Precinct 6",165,116,281,308,589
"Macomb Township, Precinct 7",192,106,298,294,592
"Macomb Township, Precinct 8",197,128,325,329,654
"Macomb Township, Precinct 9",187,117,304,162,466
"Macomb Township, Precinct 10",105,64,169,308,477
"Macomb Township, Precinct 11",247,167,414,347,761
"Macomb Township, Precinct 12",226,132,358,382,740
"Macomb Township, Precinct 13",211,158,369,300,669
"Macomb Township, Precinct 14",276,146,422,355,777
"Macomb Township, Precinct 15",304,190,494,356,850
"Macomb Township, Precinct 16",351,155,506,393,899
"Macomb Township, Precinct 17",255,146,401,379,780
"Macomb Township, Precinct 18",123,60,183,290,473
"Macomb Township, Precinct 19",54,36,90,196,286
"Macomb Township, Precinct 20",259,95,354,329,683
"Macomb Township, Precinct 21",281,169,450,401,851
"Macomb Township, Precinct 22",253,183,436,362,798
"Macomb Township, Precinct 23",279,177,456,317,773
"Macomb Township, Precinct 24",324,167,491,445,936
"Macomb Township, Precinct 25",158,99,257,234,491
"Macomb Township, Precinct 26",167,84,251,199,450
"Macomb Township, Precinct 27",270,175,445,351,796
"Macomb Township, Precinct 28",178,119,297,235,532
"Macomb Township, Precinct 29",151,96,247,325,572
"Macomb Township, Precinct 30",245,131,376,288,664
"Macomb Township, Precinct 31",161,121,282,220,502
"Macomb Township, Precinct 32",229,132,361,273,634
"Macomb Township, Precinct 33",138,82,220,244,464
"Macomb Township, Precinct 34",195,110,305,255,560
"Macomb Township, Precinct 35",166,122,288,328,616
"Macomb Township, Precinct 36",137,105,242,245,487
"Macomb Township, Precinct 37",227,141,368,239,607
Totals,"7,694","4,724","12,418","11,251","23,669"

