Precinct,"Justin Boucher
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"5,034","5,034","9,562","14,596"
"Chesterfield Township, Precinct 1",264,264,522,786
"Chesterfield Township, Precinct 2",242,242,484,726
"Chesterfield Township, Precinct 3",166,166,421,587
"Chesterfield Township, Precinct 4",192,192,303,495
"Chesterfield Township, Precinct 5",252,252,432,684
"Chesterfield Township, Precinct 6",194,194,397,591
"Chesterfield Township, Precinct 7",162,162,315,477
"Chesterfield Township, Precinct 8",162,162,396,558
"Chesterfield Township, Precinct 9",230,230,403,633
"Chesterfield Township, Precinct 10",232,232,736,968
"Chesterfield Township, Precinct 11",178,178,314,492
"Chesterfield Township, Precinct 12",237,237,327,564
"Chesterfield Township, Precinct 13",279,279,511,790
"Chesterfield Township, Precinct 14",152,152,274,426
"Chesterfield Township, Precinct 15",314,314,577,891
"Chesterfield Township, Precinct 16",214,214,455,669
"Chesterfield Township, Precinct 17",166,166,129,295
"Chesterfield Township, Precinct 18",164,164,304,468
"Chesterfield Township, Precinct 19",178,178,284,462
"New Baltimore City, Precinct 1",174,174,305,479
"New Baltimore City, Precinct 2",120,120,254,374
"New Baltimore City, Precinct 3",262,262,591,853
"New Baltimore City, Precinct 4",281,281,421,702
"New Baltimore City, Precinct 5",219,219,407,626
Totals,"5,034","5,034","9,562","14,596"

