Precinct,"Michael Babat
Republican","Christine Timmon
Republican","Brian K. Hakola
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,775","2,771","1,933","7,479","17,020","24,499"
"Eastpointe City, Precinct 1",37,25,13,75,341,416
"Eastpointe City, Precinct 2",30,51,30,111,499,610
"Eastpointe City, Precinct 3",66,56,31,153,385,538
"Eastpointe City, Precinct 4",33,50,32,115,397,512
"Eastpointe City, Precinct 5",37,52,40,129,371,500
"Eastpointe City, Precinct 6",34,43,20,97,422,519
"Eastpointe City, Precinct 7",20,20,8,48,463,511
"Eastpointe City, Precinct 8",13,13,12,38,637,675
"Eastpointe City, Precinct 9",11,25,10,46,417,463
"Eastpointe City, Precinct 10",29,34,20,83,248,331
"Eastpointe City, Precinct 11",28,34,34,96,384,480
"Eastpointe City, Precinct 12",74,65,33,172,639,811
"Eastpointe City, Precinct 13",25,20,12,57,234,291
"Eastpointe City, Precinct 14",34,19,23,76,501,577
"Village of Grosse Pointe Shores City, Precinct 3",5,5,5,15,15,30
"St. Clair Shores City, Precinct 1",177,140,103,420,729,"1,149"
"St. Clair Shores City, Precinct 2",95,128,113,336,645,981
"St. Clair Shores City, Precinct 3",98,106,64,268,610,878
"St. Clair Shores City, Precinct 4",153,105,63,321,579,900
"St. Clair Shores City, Precinct 5",86,82,74,242,574,816
"St. Clair Shores City, Precinct 6",75,72,26,173,603,776
"St. Clair Shores City, Precinct 7",54,56,41,151,338,489
"St. Clair Shores City, Precinct 8",66,85,91,242,501,743
"St. Clair Shores City, Precinct 9",67,72,43,182,305,487
"St. Clair Shores City, Precinct 10",110,98,81,289,543,832
"St. Clair Shores City, Precinct 11",39,53,50,142,224,366
"St. Clair Shores City, Precinct 12",129,169,71,369,623,992
"St. Clair Shores City, Precinct 13",195,163,117,475,683,"1,158"
"St. Clair Shores City, Precinct 14",28,44,41,113,208,321
"St. Clair Shores City, Precinct 15",117,121,60,298,598,896
"St. Clair Shores City, Precinct 16",150,100,66,316,501,817
"St. Clair Shores City, Precinct 17",129,149,128,406,577,983
"St. Clair Shores City, Precinct 18",106,128,55,289,429,718
"St. Clair Shores City, Precinct 19",104,71,64,239,376,615
"St. Clair Shores City, Precinct 20",40,48,58,146,281,427
"St. Clair Shores City, Precinct 21",104,108,59,271,389,660
"St. Clair Shores City, Precinct 22",104,68,64,236,318,554
"St. Clair Shores City, Precinct 23",73,93,78,244,433,677
Totals,"2,775","2,771","1,933","7,479","17,020","24,499"

