Precinct,"Carole Chi
Democratic","Tim Hamlin
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,278","3,191","6,469","7,337","13,806"
"Sterling Heights City, Precinct 1",123,110,233,223,456
"Sterling Heights City, Precinct 2",194,193,387,333,720
"Sterling Heights City, Precinct 3",228,213,441,401,842
"Sterling Heights City, Precinct 4",252,277,529,473,"1,002"
"Sterling Heights City, Precinct 5",254,203,457,457,914
"Sterling Heights City, Precinct 6",102,102,204,314,518
"Sterling Heights City, Precinct 7",178,158,336,376,712
"Sterling Heights City, Precinct 8",134,147,281,308,589
"Sterling Heights City, Precinct 9",72,76,148,183,331
"Sterling Heights City, Precinct 10",177,168,345,418,763
"Sterling Heights City, Precinct 11",101,116,217,223,440
"Sterling Heights City, Precinct 12",161,237,398,452,850
"Sterling Heights City, Precinct 13",138,113,251,226,477
"Sterling Heights City, Precinct 14",134,93,227,186,413
"Sterling Heights City, Precinct 15",104,68,172,257,429
"Sterling Heights City, Precinct 18",185,191,376,402,778
"Sterling Heights City, Precinct 19",201,187,388,397,785
"Sterling Heights City, Precinct 20",158,164,322,389,711
"Sterling Heights City, Precinct 22",119,81,200,294,494
"Sterling Heights City, Precinct 25",160,226,386,484,870
"Sterling Heights City, Precinct 30",103,68,171,191,362
"Sterling Heights City, Precinct 35",0,0,0,350,350
Totals,"3,278","3,191","6,469","7,337","13,806"

