Precinct,"Carol Shumard Diehl
Democratic","Bob Smith
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,141","5,229","11,370","14,345","25,715"
"Clinton Township, Precinct 1",161,89,250,334,584
"Clinton Township, Precinct 2",62,38,100,145,245
"Clinton Township, Precinct 3",131,132,263,228,491
"Clinton Township, Precinct 4",38,41,79,95,174
"Clinton Township, Precinct 5",200,111,311,59,370
"Clinton Township, Precinct 6",182,133,315,271,586
"Clinton Township, Precinct 7",67,57,124,138,262
"Clinton Township, Precinct 8",105,82,187,282,469
"Clinton Township, Precinct 9",79,61,140,186,326
"Clinton Township, Precinct 10",87,108,195,371,566
"Clinton Township, Precinct 11",130,106,236,219,455
"Clinton Township, Precinct 12",69,61,130,123,253
"Clinton Township, Precinct 13",145,101,246,288,534
"Clinton Township, Precinct 14",47,46,93,140,233
"Clinton Township, Precinct 15",102,71,173,276,449
"Clinton Township, Precinct 16",142,151,293,353,646
"Clinton Township, Precinct 17",96,99,195,276,471
"Clinton Township, Precinct 18",73,103,176,330,506
"Clinton Township, Precinct 19",115,112,227,458,685
"Clinton Township, Precinct 20",33,26,59,34,93
"Clinton Township, Precinct 21",108,84,192,157,349
"Clinton Township, Precinct 22",189,139,328,207,535
"Clinton Township, Precinct 23",167,144,311,480,791
"Clinton Township, Precinct 24",80,111,191,286,477
"Clinton Township, Precinct 25",167,110,277,280,557
"Clinton Township, Precinct 26",118,142,260,406,666
"Clinton Township, Precinct 27",109,102,211,397,608
"Clinton Township, Precinct 28",166,100,266,157,423
"Clinton Township, Precinct 29",170,125,295,480,775
"Clinton Township, Precinct 30",142,123,265,270,535
"Clinton Township, Precinct 31",162,130,292,337,629
"Clinton Township, Precinct 32",102,88,190,261,451
"Clinton Township, Precinct 33",221,193,414,450,864
"Clinton Township, Precinct 34",219,99,318,201,519
"Clinton Township, Precinct 35",206,235,441,673,"1,114"
"Clinton Township, Precinct 36",138,167,305,341,646
"Clinton Township, Precinct 37",189,176,365,509,874
"Clinton Township, Precinct 38",108,116,224,335,559
"Clinton Township, Precinct 39",117,119,236,365,601
"Clinton Township, Precinct 40",178,174,352,480,832
"Clinton Township, Precinct 41",141,98,239,391,630
"Clinton Township, Precinct 42",212,108,320,288,608
"Clinton Township, Precinct 43",63,57,120,215,335
"Clinton Township, Precinct 44",191,218,409,690,"1,099"
"Clinton Township, Precinct 45",145,114,259,431,690
"Clinton Township, Precinct 46",269,229,498,652,"1,150"
Totals,"6,141","5,229","11,370","14,345","25,715"

