Precinct,"Paula O. Rose
Republican","Brian W. Batkins
Republican","David A. Bratto
Republican","Dean Olgiati
Republican","Bill Servial
Republican","James Senstock
Republican","Nicole Ward
Republican","Zachary Eineman
Republican","Keith D. Beals
Republican","Nicholas Holmes
Republican","Marshall Rosquin
Republican","Total Votes Cast","Total Ballots Cast"
Totals,"1,884","1,807","1,632","1,624","1,523","1,296","1,178",853,742,638,548,"13,725","8,175"
"Harrison Township, Precinct 1",148,133,115,124,100,95,109,47,50,57,42,"1,020",704
"Harrison Township, Precinct 2",151,119,132,119,113,116,126,64,92,66,60,"1,158",860
"Harrison Township, Precinct 3",213,153,167,171,134,112,114,96,72,65,46,"1,343",820
"Harrison Township, Precinct 4",186,202,148,149,131,143,113,106,68,79,42,"1,367",862
"Harrison Township, Precinct 5",245,264,243,224,223,194,137,142,113,105,60,"1,950",972
"Harrison Township, Precinct 6",236,239,207,222,181,129,117,100,72,66,79,"1,648",907
"Harrison Township, Precinct 7",234,240,171,234,206,163,144,94,85,60,50,"1,681",923
"Harrison Township, Precinct 8",81,70,67,56,58,68,58,31,30,22,30,571,530
"Harrison Township, Precinct 9",206,197,195,171,196,159,145,86,96,74,61,"1,586",835
"Harrison Township, Precinct 10",184,190,187,154,181,117,115,87,64,44,78,"1,401",762
Totals,"1,884","1,807","1,632","1,624","1,523","1,296","1,178",853,742,638,548,"13,725","8,175"

