Precinct,"Kathryn A. George
None/Unknown","Lynn M. Maison
None/Unknown","Armand Velardo
None/Unknown","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"86,246","32,800","18,346","137,392","75,121","212,513"
"Armada Township, Precinct 1",328,98,64,490,602,"1,092"
"Armada Township, Precinct 2",288,95,55,438,337,775
"Bruce Township, Precinct 1",216,75,66,357,224,581
"Bruce Township, Precinct 2",452,137,125,714,366,"1,080"
"Bruce Township, Precinct 3",314,77,49,440,247,687
"Bruce Township, Precinct 4",302,127,68,497,327,824
"Center Line City, Precinct 1",179,62,25,266,156,422
"Center Line City, Precinct 2",113,74,37,224,121,345
"Center Line City, Precinct 3",168,74,33,275,180,455
"Center Line City, Precinct 4",105,37,29,171,79,250
"Center Line City, Precinct 5",80,46,16,142,98,240
"Chesterfield Township, Precinct 1",313,88,64,465,321,786
"Chesterfield Township, Precinct 2",295,109,65,469,257,726
"Chesterfield Township, Precinct 3",209,121,33,363,224,587
"Chesterfield Township, Precinct 4",171,51,45,267,228,495
"Chesterfield Township, Precinct 5",253,108,48,409,275,684
"Chesterfield Township, Precinct 6",198,116,49,363,228,591
"Chesterfield Township, Precinct 7",180,79,35,294,183,477
"Chesterfield Township, Precinct 8",221,98,40,359,199,558
"Chesterfield Township, Precinct 9",249,99,50,398,235,633
"Chesterfield Township, Precinct 10",335,142,100,577,391,968
"Chesterfield Township, Precinct 11",166,76,53,295,197,492
"Chesterfield Township, Precinct 12",182,90,56,328,236,564
"Chesterfield Township, Precinct 13",282,111,55,448,342,790
"Chesterfield Township, Precinct 14",157,57,44,258,168,426
"Chesterfield Township, Precinct 15",293,170,70,533,358,891
"Chesterfield Township, Precinct 16",252,84,66,402,267,669
"Chesterfield Township, Precinct 17",124,45,20,189,106,295
"Chesterfield Township, Precinct 18",153,86,39,278,190,468
"Chesterfield Township, Precinct 19",156,63,40,259,203,462
"Clinton Township, Precinct 1",268,100,48,416,168,584
"Clinton Township, Precinct 2",118,46,25,189,56,245
"Clinton Township, Precinct 3",231,81,47,359,132,491
"Clinton Township, Precinct 4",84,25,7,116,58,174
"Clinton Township, Precinct 5",135,64,32,231,139,370
"Clinton Township, Precinct 6",262,83,55,400,186,586
"Clinton Township, Precinct 7",126,46,14,186,76,262
"Clinton Township, Precinct 8",176,113,49,338,131,469
"Clinton Township, Precinct 9",161,50,34,245,81,326
"Clinton Township, Precinct 10",258,113,54,425,141,566
"Clinton Township, Precinct 11",187,98,39,324,131,455
"Clinton Township, Precinct 12",128,36,21,185,68,253
"Clinton Township, Precinct 13",224,108,34,366,168,534
"Clinton Township, Precinct 14",77,53,28,158,75,233
"Clinton Township, Precinct 15",200,74,48,322,127,449
"Clinton Township, Precinct 16",278,108,63,449,197,646
"Clinton Township, Precinct 17",186,107,36,329,142,471
"Clinton Township, Precinct 18",225,67,54,346,160,506
"Clinton Township, Precinct 19",288,141,67,496,189,685
"Clinton Township, Precinct 20",39,19,8,66,27,93
"Clinton Township, Precinct 21",154,52,32,238,111,349
"Clinton Township, Precinct 22",230,103,35,368,167,535
"Clinton Township, Precinct 23",329,151,85,565,226,791
"Clinton Township, Precinct 24",232,61,43,336,141,477
"Clinton Township, Precinct 25",242,95,49,386,171,557
"Clinton Township, Precinct 26",259,141,86,486,180,666
"Clinton Township, Precinct 27",303,82,68,453,155,608
"Clinton Township, Precinct 28",202,64,28,294,129,423
"Clinton Township, Precinct 29",349,143,70,562,213,775
"Clinton Township, Precinct 30",227,92,36,355,180,535
"Clinton Township, Precinct 31",294,115,38,447,182,629
"Clinton Township, Precinct 32",198,84,36,318,133,451
"Clinton Township, Precinct 33",419,132,83,634,230,864
"Clinton Township, Precinct 34",205,118,39,362,157,519
"Clinton Township, Precinct 35",477,189,119,785,329,"1,114"
"Clinton Township, Precinct 36",290,97,56,443,203,646
"Clinton Township, Precinct 37",412,122,79,613,261,874
"Clinton Township, Precinct 38",234,99,67,400,159,559
"Clinton Township, Precinct 39",289,77,68,434,167,601
"Clinton Township, Precinct 40",401,146,64,611,221,832
"Clinton Township, Precinct 41",249,130,72,451,179,630
"Clinton Township, Precinct 42",270,88,66,424,184,608
"Clinton Township, Precinct 43",163,42,42,247,88,335
"Clinton Township, Precinct 44",457,177,114,748,351,"1,099"
"Clinton Township, Precinct 45",307,119,60,486,204,690
"Clinton Township, Precinct 46",540,171,91,802,348,"1,150"
"Eastpointe City, Precinct 1",140,39,47,226,190,416
"Eastpointe City, Precinct 2",225,102,33,360,250,610
"Eastpointe City, Precinct 3",216,102,46,364,174,538
"Eastpointe City, Precinct 4",221,71,39,331,181,512
"Eastpointe City, Precinct 5",217,92,48,357,143,500
"Eastpointe City, Precinct 6",161,93,34,288,231,519
"Eastpointe City, Precinct 7",185,74,40,299,212,511
"Eastpointe City, Precinct 8",220,93,42,355,320,675
"Eastpointe City, Precinct 9",136,73,32,241,222,463
"Eastpointe City, Precinct 10",131,38,26,195,136,331
"Eastpointe City, Precinct 11",182,86,34,302,178,480
"Eastpointe City, Precinct 12",272,148,75,495,316,811
"Eastpointe City, Precinct 13",111,45,28,184,107,291
"Eastpointe City, Precinct 14",219,89,61,369,208,577
"Fraser City, Precinct 1",157,62,38,257,164,421
"Fraser City, Precinct 2",242,89,80,411,234,645
"Fraser City, Precinct 3",297,133,44,474,270,744
"Fraser City, Precinct 4",221,116,40,377,196,573
"Fraser City, Precinct 5",73,26,14,113,63,176
"Fraser City, Precinct 6",316,104,59,479,308,787
"Fraser City, Precinct 7",171,61,36,268,141,409
"Harrison Township, Precinct 1",277,141,77,495,209,704
"Harrison Township, Precinct 2",342,156,88,586,274,860
"Harrison Township, Precinct 3",342,189,65,596,224,820
"Harrison Township, Precinct 4",349,190,82,621,241,862
"Harrison Township, Precinct 5",370,260,81,711,261,972
"Harrison Township, Precinct 6",376,199,82,657,250,907
