Precinct,"Kimberly Bizon
Democratic","Kelly L. Noland
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"15,095","14,024","29,119","69,128","98,247"
"Armada Township, Precinct 1",69,97,166,926,"1,092"
"Armada Township, Precinct 2",53,38,91,684,775
"Bruce Township, Precinct 1",73,71,144,437,581
"Bruce Township, Precinct 2",100,83,183,897,"1,080"
"Bruce Township, Precinct 3",69,55,124,563,687
"Bruce Township, Precinct 4",73,45,118,706,824
"Chesterfield Township, Precinct 1",114,149,263,523,786
"Chesterfield Township, Precinct 2",123,123,246,480,726
"Chesterfield Township, Precinct 3",89,79,168,419,587
"Chesterfield Township, Precinct 4",97,90,187,308,495
"Chesterfield Township, Precinct 5",130,134,264,420,684
"Chesterfield Township, Precinct 6",104,87,191,400,591
"Chesterfield Township, Precinct 7",85,79,164,313,477
"Chesterfield Township, Precinct 8",80,82,162,396,558
"Chesterfield Township, Precinct 9",126,112,238,395,633
"Chesterfield Township, Precinct 10",122,110,232,736,968
"Chesterfield Township, Precinct 11",85,91,176,316,492
"Chesterfield Township, Precinct 12",129,107,236,328,564
"Chesterfield Township, Precinct 13",136,157,293,497,790
"Chesterfield Township, Precinct 14",96,64,160,266,426
"Chesterfield Township, Precinct 15",148,168,316,575,891
"Chesterfield Township, Precinct 16",115,96,211,458,669
"Chesterfield Township, Precinct 17",58,108,166,129,295
"Chesterfield Township, Precinct 18",85,90,175,293,468
"Chesterfield Township, Precinct 19",84,101,185,277,462
"Harrison Township, Precinct 1",134,134,268,436,704
"Harrison Township, Precinct 2",166,176,342,518,860
"Harrison Township, Precinct 3",111,113,224,596,820
"Harrison Township, Precinct 4",123,159,282,580,862
"Harrison Township, Precinct 5",91,67,158,814,972
"Harrison Township, Precinct 6",141,139,280,627,907
"Harrison Township, Precinct 7",121,105,226,697,923
"Harrison Township, Precinct 8",112,123,235,295,530
"Harrison Township, Precinct 9",104,66,170,665,835
"Harrison Township, Precinct 10",87,104,191,571,762
"Lenox Township, Precinct 1",51,68,119,384,503
"Lenox Township, Precinct 2",84,133,217,417,634
"Lenox Township, Precinct 3",164,129,293,281,574
"Lenox Township, Precinct 4",55,72,127,119,246
"Macomb Township, Precinct 1",85,69,154,387,541
