Precinct,"Andy Levin
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"60,116","60,116","54,150","114,266"
"Center Line City, Precinct 1",234,234,188,422
"Center Line City, Precinct 2",231,231,114,345
"Center Line City, Precinct 3",280,280,175,455
"Center Line City, Precinct 4",136,136,114,250
"Center Line City, Precinct 5",137,137,103,240
"Clinton Township, Precinct 1",275,275,309,584
"Clinton Township, Precinct 2",106,106,139,245
"Clinton Township, Precinct 3",273,273,218,491
"Clinton Township, Precinct 4",82,82,92,174
"Clinton Township, Precinct 5",333,333,37,370
"Clinton Township, Precinct 6",352,352,234,586
"Clinton Township, Precinct 7",127,127,135,262
"Clinton Township, Precinct 8",208,208,261,469
"Clinton Township, Precinct 9",157,157,169,326
"Clinton Township, Precinct 10",194,194,372,566
"Clinton Township, Precinct 11",245,245,210,455
"Clinton Township, Precinct 12",132,132,121,253
"Clinton Township, Precinct 13",257,257,277,534
"Clinton Township, Precinct 14",102,102,131,233
"Clinton Township, Precinct 15",195,195,254,449
"Clinton Township, Precinct 16",315,315,331,646
"Clinton Township, Precinct 17",213,213,258,471
"Clinton Township, Precinct 18",179,179,327,506
"Clinton Township, Precinct 19",228,228,457,685
"Clinton Township, Precinct 20",59,59,34,93
"Clinton Township, Precinct 21",200,200,149,349
"Clinton Township, Precinct 22",346,346,189,535
"Clinton Township, Precinct 23",348,348,443,791
"Clinton Township, Precinct 24",204,204,273,477
"Clinton Township, Precinct 25",290,290,267,557
"Clinton Township, Precinct 26",277,277,389,666
"Clinton Township, Precinct 27",224,224,384,608
"Clinton Township, Precinct 28",281,281,142,423
"Clinton Township, Precinct 29",327,327,448,775
"Clinton Township, Precinct 30",280,280,255,535
"Clinton Township, Precinct 31",321,321,308,629
"Clinton Township, Precinct 32",204,204,247,451
"Clinton Township, Precinct 33",439,439,425,864
"Clinton Township, Precinct 34",328,328,191,519
"Clinton Township, Precinct 35",490,490,624,"1,114"
"Clinton Township, Precinct 36",319,319,327,646
"Clinton Township, Precinct 37",397,397,477,874
"Clinton Township, Precinct 38",231,231,328,559
"Clinton Township, Precinct 39",251,251,350,601
"Clinton Township, Precinct 40",377,377,455,832
"Clinton Township, Precinct 41",257,257,373,630
