Precinct,"Laurita Bledsoe
Democratic","Linda Rose Clor
Democratic","Robert Johnston
Democratic","Total Votes Cast","Total Ballots Cast"
Totals,"5,708","5,548","5,115","16,371","23,669"
"Macomb Township, Precinct 1",116,109,111,336,541
"Macomb Township, Precinct 2",163,148,140,451,674
"Macomb Township, Precinct 3",137,132,124,393,599
"Macomb Township, Precinct 4",160,147,157,464,649
"Macomb Township, Precinct 5",212,185,179,576,777
"Macomb Township, Precinct 6",139,150,130,419,589
"Macomb Township, Precinct 7",167,169,150,486,592
"Macomb Township, Precinct 8",166,152,147,465,654
"Macomb Township, Precinct 9",71,71,68,210,466
"Macomb Township, Precinct 10",162,161,144,467,477
"Macomb Township, Precinct 11",177,172,160,509,761
"Macomb Township, Precinct 12",245,242,213,700,740
"Macomb Township, Precinct 13",156,158,148,462,669
"Macomb Township, Precinct 14",151,154,136,441,777
"Macomb Township, Precinct 15",141,142,124,407,850
"Macomb Township, Precinct 16",196,202,177,575,899
"Macomb Township, Precinct 17",206,191,180,577,780
"Macomb Township, Precinct 18",156,138,135,429,473
"Macomb Township, Precinct 19",95,101,80,276,286
"Macomb Township, Precinct 20",171,160,142,473,683
"Macomb Township, Precinct 21",185,190,175,550,851
"Macomb Township, Precinct 22",172,164,150,486,798
"Macomb Township, Precinct 23",153,157,138,448,773
"Macomb Township, Precinct 24",220,218,205,643,936
"Macomb Township, Precinct 25",109,108,101,318,491
"Macomb Township, Precinct 26",107,91,101,299,450
"Macomb Township, Precinct 27",187,195,180,562,796
"Macomb Township, Precinct 28",118,123,102,343,532
"Macomb Township, Precinct 29",183,173,158,514,572
"Macomb Township, Precinct 30",160,149,136,445,664
"Macomb Township, Precinct 31",107,97,90,294,502
"Macomb Township, Precinct 32",137,131,119,387,634
"Macomb Township, Precinct 33",118,106,106,330,464
"Macomb Township, Precinct 34",143,134,122,399,560
"Macomb Township, Precinct 35",185,197,167,549,616
"Macomb Township, Precinct 36",115,112,109,336,487
"Macomb Township, Precinct 37",122,119,111,352,607
Totals,"5,708","5,548","5,115","16,371","23,669"

