Precinct,"Rick Stathakis
Republican","Grant G. Golasa
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"8,419","4,130","12,549","8,726","21,275"
"Shelby Township, Precinct 1",419,248,667,359,"1,026"
"Shelby Township, Precinct 2",348,182,530,283,813
"Shelby Township, Precinct 3",140,83,223,142,365
"Shelby Township, Precinct 4",291,113,404,280,684
"Shelby Township, Precinct 5",161,70,231,282,513
"Shelby Township, Precinct 6",126,62,188,252,440
"Shelby Township, Precinct 7",337,206,543,285,828
"Shelby Township, Precinct 8",180,95,275,143,418
"Shelby Township, Precinct 9",120,62,182,200,382
"Shelby Township, Precinct 10",229,93,322,211,533
"Shelby Township, Precinct 11",218,125,343,310,653
"Shelby Township, Precinct 12",227,169,396,164,560
"Shelby Township, Precinct 13",163,93,256,157,413
"Shelby Township, Precinct 14",311,186,497,315,812
"Shelby Township, Precinct 15",350,194,544,331,875
"Shelby Township, Precinct 16",489,222,711,421,"1,132"
"Shelby Township, Precinct 17",307,183,490,386,876
"Shelby Township, Precinct 18",220,129,349,309,658
"Shelby Township, Precinct 19",238,122,360,233,593
"Shelby Township, Precinct 20",166,76,242,249,491
"Shelby Township, Precinct 21",59,32,91,216,307
"Shelby Township, Precinct 22",480,251,731,430,"1,161"
"Shelby Township, Precinct 23",451,215,666,289,955
"Shelby Township, Precinct 24",637,219,856,417,"1,273"
"Shelby Township, Precinct 25",366,150,516,359,875
"Shelby Township, Precinct 26",293,112,405,387,792
"Shelby Township, Precinct 27",271,116,387,420,807
"Shelby Township, Precinct 28",365,134,499,445,944
"Shelby Township, Precinct 29",197,76,273,205,478
"Shelby Township, Precinct 30",260,112,372,246,618
Totals,"8,419","4,130","12,549","8,726","21,275"

