Precinct,"Joe Sabatini
Republican","Nicholyn Brandenburg
Republican","Liz Roe
Republican","Vincent W. Olshove
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"5,282","2,450","1,695",739,"10,166","9,740","19,906"
"Macomb Township, Precinct 1",142,93,43,21,299,242,541
"Macomb Township, Precinct 3",168,74,35,50,327,272,599
"Macomb Township, Precinct 5",173,113,69,17,372,405,777
"Macomb Township, Precinct 6",146,68,42,17,273,316,589
"Macomb Township, Precinct 7",132,101,39,23,295,297,592
"Macomb Township, Precinct 8",153,78,51,32,314,340,654
"Macomb Township, Precinct 9",137,62,72,10,281,185,466
"Macomb Township, Precinct 11",204,100,52,31,387,374,761
"Macomb Township, Precinct 13",183,95,62,21,361,308,669
"Macomb Township, Precinct 14",194,102,69,39,404,373,777
"Macomb Township, Precinct 15",273,87,77,28,465,385,850
"Macomb Township, Precinct 16",267,116,66,16,465,434,899
"Macomb Township, Precinct 17",217,85,69,15,386,394,780
"Macomb Township, Precinct 20",167,75,67,23,332,351,683
"Macomb Township, Precinct 21",231,115,74,15,435,416,851
"Macomb Township, Precinct 22",216,99,67,33,415,383,798
"Macomb Township, Precinct 23",215,119,76,33,443,330,773
"Macomb Township, Precinct 24",200,97,103,51,451,485,936
"Macomb Township, Precinct 25",143,48,43,12,246,245,491
"Macomb Township, Precinct 26",146,45,26,18,235,215,450
"Macomb Township, Precinct 27",212,104,58,41,415,381,796
"Macomb Township, Precinct 28",154,52,58,25,289,243,532
"Macomb Township, Precinct 29",119,51,38,13,221,351,572
"Macomb Township, Precinct 30",231,64,49,22,366,298,664
"Macomb Township, Precinct 31",111,83,45,20,259,243,502
"Macomb Township, Precinct 32",181,62,46,38,327,307,634
"Macomb Township, Precinct 34",164,49,43,19,275,285,560
"Macomb Township, Precinct 35",151,56,47,15,269,347,616
"Macomb Township, Precinct 36",114,66,38,13,231,256,487
"Macomb Township, Precinct 37",138,91,71,28,328,279,607
Totals,"5,282","2,450","1,695",739,"10,166","9,740","19,906"

