Precinct,"Jeff Farrington
Republican","Victoria Goike
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,794","4,424","9,218","9,087","18,305"
"Shelby Township, Precinct 2",297,195,492,321,813
"Shelby Township, Precinct 3",99,107,206,159,365
"Shelby Township, Precinct 4",244,140,384,300,684
"Shelby Township, Precinct 5",141,80,221,292,513
"Shelby Township, Precinct 6",85,94,179,261,440
"Shelby Township, Precinct 7",179,243,422,406,828
"Shelby Township, Precinct 8",81,152,233,185,418
"Shelby Township, Precinct 9",96,80,176,206,382
"Shelby Township, Precinct 10",173,122,295,238,533
"Shelby Township, Precinct 11",162,161,323,330,653
"Shelby Township, Precinct 12",134,192,326,234,560
"Shelby Township, Precinct 13",114,102,216,197,413
"Shelby Township, Precinct 15",181,281,462,413,875
"Shelby Township, Precinct 16",278,320,598,534,"1,132"
"Shelby Township, Precinct 17",178,253,431,445,876
"Shelby Township, Precinct 18",143,158,301,357,658
"Shelby Township, Precinct 19",127,169,296,297,593
"Shelby Township, Precinct 20",115,111,226,265,491
"Shelby Township, Precinct 21",38,52,90,217,307
"Shelby Township, Precinct 22",286,336,622,539,"1,161"
"Shelby Township, Precinct 25",295,169,464,411,875
"Shelby Township, Precinct 26",169,184,353,439,792
"Shelby Township, Precinct 27",220,155,375,432,807
"Shelby Township, Precinct 28",302,160,462,482,944
"Shelby Township, Precinct 29",138,108,246,232,478
"Shelby Township, Precinct 30",198,132,330,288,618
"Utica City, Precinct 1",49,37,86,120,206
"Utica City, Precinct 2",157,64,221,213,434
"Utica City, Precinct 3",115,67,182,274,456
Totals,"4,794","4,424","9,218","9,087","18,305"

