Precinct,"Ken Reid
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,974","4,974","13,331","18,305"
"Shelby Township, Precinct 2",171,171,642,813
"Shelby Township, Precinct 3",99,99,266,365
"Shelby Township, Precinct 4",162,162,522,684
"Shelby Township, Precinct 5",156,156,357,513
"Shelby Township, Precinct 6",162,162,278,440
"Shelby Township, Precinct 7",177,177,651,828
"Shelby Township, Precinct 8",81,81,337,418
"Shelby Township, Precinct 9",142,142,240,382
"Shelby Township, Precinct 10",139,139,394,533
"Shelby Township, Precinct 11",202,202,451,653
"Shelby Township, Precinct 12",101,101,459,560
"Shelby Township, Precinct 13",92,92,321,413
"Shelby Township, Precinct 15",221,221,654,875
"Shelby Township, Precinct 16",259,259,873,"1,132"
"Shelby Township, Precinct 17",218,218,658,876
"Shelby Township, Precinct 18",199,199,459,658
"Shelby Township, Precinct 19",157,157,436,593
"Shelby Township, Precinct 20",135,135,356,491
"Shelby Township, Precinct 21",161,161,146,307
"Shelby Township, Precinct 22",256,256,905,"1,161"
"Shelby Township, Precinct 25",205,205,670,875
"Shelby Township, Precinct 26",243,243,549,792
"Shelby Township, Precinct 27",279,279,528,807
"Shelby Township, Precinct 28",295,295,649,944
"Shelby Township, Precinct 29",127,127,351,478
"Shelby Township, Precinct 30",136,136,482,618
"Utica City, Precinct 1",81,81,125,206
"Utica City, Precinct 2",133,133,301,434
"Utica City, Precinct 3",185,185,271,456
Totals,"4,974","4,974","13,331","18,305"

