Precinct,"Stephen Colegio
Republican","Clifford Frost
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,120","1,748","4,868","11,692","16,560"
"Center Line City, Precinct 1",98,38,136,286,422
"Center Line City, Precinct 2",41,35,76,269,345
"Center Line City, Precinct 3",70,52,122,333,455
"Center Line City, Precinct 4",46,34,80,170,250
"Center Line City, Precinct 5",47,30,77,163,240
"Warren City, Precinct 1",72,45,117,424,541
"Warren City, Precinct 3",67,39,106,430,536
"Warren City, Precinct 4",75,48,123,310,433
"Warren City, Precinct 5",58,40,98,347,445
"Warren City, Precinct 6",79,67,146,394,540
"Warren City, Precinct 7",34,22,56,219,275
"Warren City, Precinct 8",23,44,67,227,294
"Warren City, Precinct 9",65,23,88,251,339
"Warren City, Precinct 11",2,0,2,7,9
"Warren City, Precinct 12",35,17,52,171,223
"Warren City, Precinct 18",19,17,36,102,138
"Warren City, Precinct 19",85,51,136,357,493
"Warren City, Precinct 20",119,64,183,468,651
"Warren City, Precinct 22",194,59,253,440,693
"Warren City, Precinct 28",164,100,264,623,887
"Warren City, Precinct 32",172,60,232,483,715
"Warren City, Precinct 34",50,31,81,273,354
"Warren City, Precinct 35",159,78,237,505,742
"Warren City, Precinct 36",231,127,358,750,"1,108"
"Warren City, Precinct 38",151,66,217,658,875
"Warren City, Precinct 45",115,68,183,399,582
"Warren City, Precinct 46",93,50,143,363,506
"Warren City, Precinct 47",158,127,285,522,807
"Warren City, Precinct 48",66,24,90,326,416
"Warren City, Precinct 54",148,115,263,427,690
"Warren City, Precinct 55",158,70,228,411,639
"Warren City, Precinct 56",82,37,119,224,343
"Warren City, Precinct 57",144,70,214,360,574
Totals,"3,120","1,748","4,868","11,692","16,560"

