Precinct,"No Nomination",Overvotes/Undervotes,"Total Ballots Cast"
"Lenox Township, Precinct 1",-,503,503
"Lenox Township, Precinct 2",-,634,634
"Lenox Township, Precinct 3",-,574,574
"Lenox Township, Precinct 4",-,246,246
Totals,-,"1,957","1,957"

