Precinct,"Christopher DeVos
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Richmond Township, Precinct 1",277,277,197,474
"Richmond Township, Precinct 2",269,269,204,473
Totals,546,546,401,947

