Precinct,"Robert Mijac
Democratic","Stacy Bahri
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,514","2,776","6,290","7,930","14,220"
"Sterling Heights City, Precinct 16",131,96,227,214,441
"Sterling Heights City, Precinct 17",153,84,237,234,471
"Sterling Heights City, Precinct 21",110,90,200,211,411
"Sterling Heights City, Precinct 23",165,69,234,279,513
"Sterling Heights City, Precinct 24",124,98,222,277,499
"Sterling Heights City, Precinct 26",196,133,329,493,822
"Sterling Heights City, Precinct 27",151,144,295,405,700
"Sterling Heights City, Precinct 28",188,130,318,385,703
"Sterling Heights City, Precinct 29",136,109,245,367,612
"Sterling Heights City, Precinct 31",122,66,188,174,362
"Sterling Heights City, Precinct 32",32,62,94,91,185
"Sterling Heights City, Precinct 33",178,80,258,326,584
"Sterling Heights City, Precinct 34",163,128,291,439,730
"Sterling Heights City, Precinct 35",81,84,165,185,350
"Sterling Heights City, Precinct 36",194,159,353,450,803
"Sterling Heights City, Precinct 37",176,145,321,361,682
"Sterling Heights City, Precinct 38",191,231,422,459,881
"Sterling Heights City, Precinct 39",145,108,253,350,603
"Sterling Heights City, Precinct 40",49,69,118,177,295
"Sterling Heights City, Precinct 41",107,92,199,249,448
"Sterling Heights City, Precinct 42",116,127,243,371,614
"Sterling Heights City, Precinct 43",287,192,479,643,"1,122"
"Sterling Heights City, Precinct 44",134,121,255,353,608
"Sterling Heights City, Precinct 45",185,159,344,437,781
Totals,"3,514","2,776","6,290","7,930","14,220"

