Precinct,"Fred Miller
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"88,201","88,201","124,312","212,513"
"Armada Township, Precinct 1",166,166,926,"1,092"
"Armada Township, Precinct 2",97,97,678,775
"Bruce Township, Precinct 1",149,149,432,581
"Bruce Township, Precinct 2",191,191,889,"1,080"
"Bruce Township, Precinct 3",133,133,554,687
"Bruce Township, Precinct 4",119,119,705,824
"Center Line City, Precinct 1",216,216,206,422
"Center Line City, Precinct 2",227,227,118,345
"Center Line City, Precinct 3",273,273,182,455
"Center Line City, Precinct 4",131,131,119,250
"Center Line City, Precinct 5",134,134,106,240
"Chesterfield Township, Precinct 1",274,274,512,786
"Chesterfield Township, Precinct 2",250,250,476,726
"Chesterfield Township, Precinct 3",171,171,416,587
"Chesterfield Township, Precinct 4",197,197,298,495
"Chesterfield Township, Precinct 5",265,265,419,684
"Chesterfield Township, Precinct 6",191,191,400,591
"Chesterfield Township, Precinct 7",170,170,307,477
"Chesterfield Township, Precinct 8",163,163,395,558
"Chesterfield Township, Precinct 9",240,240,393,633
"Chesterfield Township, Precinct 10",241,241,727,968
"Chesterfield Township, Precinct 11",180,180,312,492
"Chesterfield Township, Precinct 12",243,243,321,564
"Chesterfield Township, Precinct 13",289,289,501,790
"Chesterfield Township, Precinct 14",159,159,267,426
"Chesterfield Township, Precinct 15",319,319,572,891
"Chesterfield Township, Precinct 16",219,219,450,669
"Chesterfield Township, Precinct 17",167,167,128,295
"Chesterfield Township, Precinct 18",170,170,298,468
"Chesterfield Township, Precinct 19",190,190,272,462
"Clinton Township, Precinct 1",268,268,316,584
"Clinton Township, Precinct 2",108,108,137,245
"Clinton Township, Precinct 3",265,265,226,491
"Clinton Township, Precinct 4",83,83,91,174
"Clinton Township, Precinct 5",320,320,50,370
"Clinton Township, Precinct 6",344,344,242,586
"Clinton Township, Precinct 7",128,128,134,262
"Clinton Township, Precinct 8",196,196,273,469
"Clinton Township, Precinct 9",155,155,171,326
"Clinton Township, Precinct 10",190,190,376,566
"Clinton Township, Precinct 11",240,240,215,455
"Clinton Township, Precinct 12",130,130,123,253
"Clinton Township, Precinct 13",250,250,284,534
"Clinton Township, Precinct 14",104,104,129,233
"Clinton Township, Precinct 15",189,189,260,449
"Clinton Township, Precinct 16",304,304,342,646
"Clinton Township, Precinct 17",208,208,263,471
"Clinton Township, Precinct 18",177,177,329,506
"Clinton Township, Precinct 19",226,226,459,685
"Clinton Township, Precinct 20",57,57,36,93
