Precinct,"Stanley Babinski
Republican","Joe Fortuna
Republican","Lisa Damon-Brown
Republican","Dawn Lynn Bartolomeo
Republican","John Chaplin
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,029","1,692","1,091",803,202,"5,817","3,672","9,489"
"Washington Township, Precinct 1",91,118,51,44,15,319,238,557
"Washington Township, Precinct 10",109,121,84,58,12,384,277,661
"Washington Township, Precinct 11",111,140,71,77,9,408,241,649
"Washington Township, Precinct 2",231,195,131,105,34,696,458,"1,154"
"Washington Township, Precinct 3",265,202,115,69,27,678,391,"1,069"
"Washington Township, Precinct 4",157,120,82,40,14,413,341,754
"Washington Township, Precinct 5",273,244,103,83,18,721,355,"1,076"
"Washington Township, Precinct 6",314,179,139,78,20,730,415,"1,145"
"Washington Township, Precinct 7",183,143,164,140,22,652,379,"1,031"
"Washington Township, Precinct 8",170,139,90,77,22,498,381,879
"Washington Township, Precinct 9",125,91,61,32,9,318,196,514
Totals,"2,029","1,692","1,091",803,202,"5,817","3,672","9,489"

