Precinct,"No Nomination","Total Ballots Cast"
Totals,-,"21,275"
"Shelby Township, Precinct 1",-,"1,026"
"Shelby Township, Precinct 2",-,813
"Shelby Township, Precinct 3",-,365
"Shelby Township, Precinct 4",-,684
"Shelby Township, Precinct 5",-,513
"Shelby Township, Precinct 6",-,440
"Shelby Township, Precinct 7",-,828
"Shelby Township, Precinct 8",-,418
"Shelby Township, Precinct 9",-,382
"Shelby Township, Precinct 10",-,533
"Shelby Township, Precinct 11",-,653
"Shelby Township, Precinct 12",-,560
"Shelby Township, Precinct 13",-,413
"Shelby Township, Precinct 14",-,812
"Shelby Township, Precinct 15",-,875
"Shelby Township, Precinct 16",-,"1,132"
"Shelby Township, Precinct 17",-,876
"Shelby Township, Precinct 18",-,658
"Shelby Township, Precinct 19",-,593
"Shelby Township, Precinct 20",-,491
"Shelby Township, Precinct 21",-,307
"Shelby Township, Precinct 22",-,"1,161"
"Shelby Township, Precinct 23",-,955
"Shelby Township, Precinct 24",-,"1,273"
"Shelby Township, Precinct 25",-,875
"Shelby Township, Precinct 26",-,792
"Shelby Township, Precinct 27",-,807
"Shelby Township, Precinct 28",-,944
"Shelby Township, Precinct 29",-,478
"Shelby Township, Precinct 30",-,618
Totals,-,"21,275"

