Precinct,"No Nomination",Overvotes/Undervotes,"Total Ballots Cast"
Totals,-,"9,489","9,489"
"Washington Township, Precinct 1",-,557,557
"Washington Township, Precinct 10",-,661,661
"Washington Township, Precinct 11",-,649,649
"Washington Township, Precinct 2",-,"1,154","1,154"
"Washington Township, Precinct 3",-,"1,069","1,069"
"Washington Township, Precinct 4",-,754,754
"Washington Township, Precinct 5",-,"1,076","1,076"
"Washington Township, Precinct 6",-,"1,145","1,145"
"Washington Township, Precinct 7",-,"1,031","1,031"
"Washington Township, Precinct 8",-,879,879
"Washington Township, Precinct 9",-,514,514
Totals,-,"9,489","9,489"

