Precinct,"Kenneth J. Verkest
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,749","3,749","4,426","8,175"
"Harrison Township, Precinct 1",285,285,419,704
"Harrison Township, Precinct 2",320,320,540,860
"Harrison Township, Precinct 3",368,368,452,820
"Harrison Township, Precinct 4",375,375,487,862
"Harrison Township, Precinct 5",535,535,437,972
"Harrison Township, Precinct 6",419,419,488,907
"Harrison Township, Precinct 7",455,455,468,923
"Harrison Township, Precinct 8",173,173,357,530
"Harrison Township, Precinct 9",462,462,373,835
"Harrison Township, Precinct 10",357,357,405,762
Totals,"3,749","3,749","4,426","8,175"

