Precinct,"Denise Hudson
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Powell Township Precinct 1",56,2,58,149,207,496
"Powell Township Precinct 2",21,0,21,67,88,219
Totals,77,2,79,216,295,715

