Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Marquette Charter Township Precinct 1",-,9,9,779,788,"2,449"
"Marquette Charter Township Precinct 2",-,5,5,396,401,"1,162"
Totals,-,14,14,"1,175","1,189","3,611"

