Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Chocolay Charter Township Precinct 1",-,10,10,822,832,"2,526"
"Chocolay Charter Township Precinct 2",-,12,12,924,936,"2,438"
Totals,-,22,22,"1,746","1,768","4,964"

