Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Ely Township Precinct 1",-,12,12,555,567,"1,702"
Totals,-,12,12,555,567,"1,702"

