Precinct,"Joseph Kozub
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
Totals,"3,288",25,"3,313","13,828","17,141","52,319"
"Champion Township Precinct 1",12,0,12,85,97,211
"Chocolay Charter Township Precinct 1",193,1,194,638,832,"2,526"
"Chocolay Charter Township Precinct 2",219,0,219,717,936,"2,438"
"City of Ishpeming Precinct 1",98,2,100,548,648,"2,370"
"City of Ishpeming Precinct 2",107,0,107,468,575,"2,767"
"City of Marquette Precinct 1",111,0,111,525,636,"2,137"
"City of Marquette Precinct 2",131,0,131,659,790,"2,148"
"City of Marquette Precinct 3",100,2,102,596,698,"1,637"
"City of Marquette Precinct 4",75,1,76,520,596,"1,865"
"City of Marquette Precinct 5",54,3,57,569,626,"1,972"
"City of Marquette Precinct 6",47,0,47,372,419,"2,113"
"City of Marquette Precinct 7",75,0,75,741,816,"2,366"
"City of Negaunee Precinct 1",111,2,113,516,629,"1,915"
"City of Negaunee Precinct 2",116,0,116,642,758,"1,912"
"Ely Township Precinct 1",99,1,100,467,567,"1,702"
"Ewing Township Precinct 1",19,0,19,28,47,130
"Forsyth Township Precinct 1",264,2,266,638,904,"2,495"
"Forsyth Township Precinct 2",122,2,124,176,300,812
"Forsyth Township Precinct 3",100,0,100,160,260,"1,464"
"Humboldt Township Precinct 1",40,0,40,124,164,389
"Ishpeming Township Precinct 1A",80,1,81,394,475,"1,390"
"Ishpeming Township Precinct 1B",0,0,0,5,5,23
"Ishpeming Township Precinct 2",75,1,76,396,472,"1,458"
"Marquette Charter Township Precinct 1",122,1,123,665,788,"2,449"
"Marquette Charter Township Precinct 2",81,0,81,320,401,"1,162"
"Michigamme Township Precinct 1",22,0,22,135,157,294
"Negaunee Township Precinct 1",234,2,236,822,"1,058","2,662"
"Powell Township Precinct 1",58,0,58,149,207,496
"Powell Township Precinct 2",26,0,26,62,88,219
"Republic Township Precinct 1",63,1,64,262,326,917
"Richmond Township Precinct 1",39,0,39,195,234,639
"Sands Township Precinct 1",156,1,157,437,594,"1,909"
"Skandia Township Precinct 1",55,2,57,176,233,692
"Tilden Township Precinct 1",66,0,66,287,353,853
"Turin Township Precinct 1",11,0,11,44,55,96
"Wells Township Precinct 1",10,0,10,39,49,168
"W. Branch Township Precinct 1",97,0,97,251,348,"1,523"
Totals,"3,288",25,"3,313","13,828","17,141","52,319"

