Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Richmond Township Precinct 1",-,13,13,221,234,639
Totals,-,13,13,221,234,639

