Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
Totals,-,53,53,"3,268","3,321","9,046"
"Champion Township Precinct 1",-,1,1,96,97,211
"Ely Township Precinct 1",-,8,8,559,567,"1,702"
"Humboldt Township Precinct 1",-,6,6,158,164,389
"Ishpeming Township Precinct 1A",-,8,8,467,475,"1,390"
"Ishpeming Township Precinct 1B",-,0,0,5,5,23
"Ishpeming Township Precinct 2",-,11,11,461,472,"1,458"
"Michigamme Township Precinct 1",-,1,1,156,157,294
"Negaunee Township Precinct 1",-,15,15,"1,043","1,058","2,662"
"Republic Township Precinct 1",-,3,3,323,326,917
Totals,-,53,53,"3,268","3,321","9,046"

