Precinct,"Dan Everson
Republican",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Marquette Charter Township Precinct 1",138,0,138,650,788,"2,449"
"Marquette Charter Township Precinct 2",78,1,79,322,401,"1,162"
Totals,216,1,217,972,"1,189","3,611"

