Precinct,"Justin M. Yelle
Republican","Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
"Sands Township Precinct 1",152,152,442,594,"1,909"
Totals,152,152,442,594,"1,909"

